,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Breckenridge, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,81,46,35,-
6,,,,,
7,New arrivals,34,16,18,-
8,Adjustments of status,47,30,17,-
9,,,,,
10,Age,,,,
11,Under 18 years,14,D,D,-
12,18 to 24 years,10,D,D,-
13,25 to 34 years,29,19,10,-
14,35 to 44 years,15,8,7,-
15,45 to 54 years,D,4,D,-
16,55 to 64 years,6,D,D,-
17,65 years and over,D,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,54,36,18,-
22,Single,21,D,D,-
23,Other,6,D,D,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",8,D,D,-
28,Service occupations,3,D,D,-
29,Sales and office occupations,D,D,D,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",D,-,D,-
32,"Production, transportation, and material moving occupations",D,-,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,38,23,15,-
35,Homemakers,12,12,-,-
36,Students or children,17,D,D,-
37,Retirees,-,-,-,-
38,Unemployed,9,D,D,-
39,Unknown,28,15,13,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,D,-,D,-
43,Employment-based preferences,D,D,D,-
44,Immediate relatives of U.S. citizens,65,40,25,-
45,Diversity,5,D,D,-
46,Refugees and asylees,7,D,D,-
47,Other,1,1,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Armenia,3,D,D,-
51,Australia,D,D,-,-
52,Belarus,D,D,-,-
53,Bulgaria,D,D,D,-
54,Canada,D,D,-,-
55,"China, People's Republic",D,D,-,-
56,Colombia,D,D,-,-
57,Czechia,D,D,D,-
58,El Salvador,3,D,D,-
59,Guatemala,4,D,D,-
60,India,D,D,-,-
61,Mauritania,D,-,D,-
62,Mexico,16,11,5,-
63,Nicaragua,D,D,D,-
64,Peru,3,3,-,-
65,Philippines,3,D,D,-
66,Senegal,12,3,9,-
67,United Kingdom,3,D,D,-
68,Uzbekistan,D,-,D,-
69,Venezuela,D,D,-,-
70,Other,15,8,7,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
