,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2008,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Silverthorne, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,98,49,49,-
6,,,,,
7,New arrivals,36,20,16,-
8,Adjustments of status,62,29,33,-
9,,,,,
10,Age,,,,
11,Under 18 years,13,8,5,-
12,18 to 24 years,13,9,4,-
13,25 to 34 years,29,10,19,-
14,35 to 44 years,25,11,14,-
15,45 to 54 years,7,4,3,-
16,55 to 64 years,11,7,4,-
17,65 years and over,-,-,-,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,22,D,D,-
22,Married,70,33,37,-
23,Other,6,D,D,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",15,7,8,-
28,Service occupations,11,6,5,-
29,Sales and office occupations,D,D,D,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",5,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,37,14,23,-
35,Homemakers,8,-,8,-
36,Students or children,15,10,5,-
37,Retirees,-,-,-,-
38,Unemployed,14,4,10,-
39,Unknown,25,15,10,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,5,D,D,-
43,Employment-based preferences,3,D,D,-
44,Immediate relatives of U.S. citizens,58,23,35,-
45,Diversity,16,10,6,-
46,Refugees and asylees,16,13,3,-
47,Other,-,-,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,D,-,D,-
51,Australia,4,D,D,-
52,Belarus,4,D,D,-
53,Brazil,D,-,D,-
54,Bulgaria,D,D,-,-
55,Cameroon,D,D,-,-
56,Canada,6,3,3,-
57,Colombia,4,D,D,-
58,Czechoslovakia (former),D,D,D,-
59,El Salvador,D,D,D,-
60,Guatemala,3,D,D,-
61,Japan,3,D,D,-
62,Mauritania,11,D,D,-
63,Mexico,16,7,9,-
64,Philippines,D,-,D,-
65,Poland,D,D,-,-
66,Russia,D,D,D,-
67,Slovak Republic,D,-,D,-
68,Ukraine,9,6,3,-
69,United Kingdom,5,D,D,-
70,Other,16,6,10,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
