,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,909,524,385,-
6,,,,,
7,New arrivals,479,254,225,-
8,Adjustments of status,430,270,160,-
9,,,,,
10,Age,,,,
11,Under 18 years,163,70,93,-
12,18 to 24 years,119,69,50,-
13,25 to 34 years,261,167,94,-
14,35 to 44 years,155,93,62,-
15,45 to 54 years,90,58,32,-
16,55 to 64 years,78,42,36,-
17,65 years and over,43,25,18,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,581,371,210,-
22,Single,270,117,153,-
23,Other,55,36,19,-
24,Unknown,3,-,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",125,51,74,-
28,Service occupations,20,7,13,-
29,Sales and office occupations,14,9,5,-
30,"Farming, fishing, and forestry occupations",4,D,D,-
31,"Construction, extraction, maintenance and repair occupations",24,3,21,-
32,"Production, transportation, and material moving occupations",8,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,395,257,138,-
35,Homemakers,122,118,4,-
36,Students or children,207,89,118,-
37,Retirees,10,5,5,-
38,Unemployed,56,45,11,-
39,Unknown,319,194,125,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,123,52,71,-
43,Employment-based preferences,85,45,40,-
44,Immediate relatives of U.S. citizens,538,353,185,-
45,Diversity,47,21,26,-
46,Refugees and asylees,73,33,40,-
47,Other,43,20,23,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,21,8,13,-
51,Canada,18,11,7,-
52,China,47,31,16,-
53,Cuba,18,6,12,-
54,Dominican Republic,11,D,D,-
55,Germany,28,D,D,-
56,India,48,24,24,-
57,Iran,11,5,6,-
58,Iraq,29,9,20,-
59,Jamaica,24,14,10,-
60,Kenya,28,15,13,-
61,"Korea, South",19,13,6,-
62,Mexico,160,76,84,-
63,Nepal,23,9,14,-
64,Peru,18,12,6,-
65,Philippines,86,59,27,-
66,Russia,17,10,7,-
67,Ukraine,14,9,5,-
68,United Kingdom,29,9,20,-
69,Vietnam,20,13,7,-
70,Other,240,157,83,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
