,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2008,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,900,375,525,-
6,,,,,
7,New arrivals,419,181,238,-
8,Adjustments of status,481,194,287,-
9,,,,,
10,Age,,,,
11,Under 18 years,199,97,102,-
12,18 to 24 years,104,40,64,-
13,25 to 34 years,223,83,140,-
14,35 to 44 years,167,73,94,-
15,45 to 54 years,107,48,59,-
16,55 to 64 years,59,18,41,-
17,65 years and over,41,16,25,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,301,153,148,-
22,Married,550,210,340,-
23,Other,43,9,34,-
24,Unknown,6,3,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",104,69,35,-
28,Service occupations,39,20,19,-
29,Sales and office occupations,23,7,16,-
30,"Farming, fishing, and forestry occupations",13,D,D,-
31,"Construction, extraction, maintenance and repair occupations",6,6,-,-
32,"Production, transportation, and material moving occupations",33,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,453,142,311,-
35,Homemakers,137,D,D,-
36,Students or children,230,113,117,-
37,Retirees,5,D,D,-
38,Unemployed,81,22,59,-
39,Unknown,229,94,135,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,154,79,75,-
43,Employment-based preferences,125,67,58,-
44,Immediate relatives of U.S. citizens,532,183,349,-
45,Diversity,19,10,9,-
46,Refugees and asylees,59,30,29,-
47,Other,11,6,5,-
48,,,,,
49,Leading countries of birth,,,,
50,Canada,24,10,14,-
51,China,61,23,38,-
52,Colombia,10,D,D,-
53,Cuba,12,7,5,-
54,Ethiopia,15,7,8,-
55,Germany,29,11,18,-
56,Guatemala,15,6,9,-
57,India,63,34,29,-
58,Iran,14,8,6,-
59,Jamaica,25,10,15,-
60,Japan,17,5,12,-
61,Korea,40,15,25,-
62,Liberia,17,7,10,-
63,Mexico,186,79,107,-
64,Peru,14,7,7,-
65,Philippines,95,34,61,-
66,Russia,14,D,D,-
67,Ukraine,17,6,11,-
68,United Kingdom,16,9,7,-
69,Vietnam,13,4,9,-
70,Other,201,87,114,-
71,Unknown,2,2,-,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
