,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,1055,638,417,-
6,,,,,
7,New arrivals,565,335,230,-
8,Adjustments of status,490,303,187,-
9,,,,,
10,Age,,,,
11,Under 18 years,182,96,86,-
12,18 to 24 years,156,92,64,-
13,25 to 34 years,269,172,97,-
14,35 to 44 years,164,106,58,-
15,45 to 54 years,146,86,60,-
16,55 to 64 years,87,56,31,-
17,65 years and over,51,30,21,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,670,432,238,-
22,Single,313,158,155,-
23,Other,66,46,20,-
24,Unknown,6,2,4,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",79,35,44,-
28,Service occupations,38,20,18,-
29,Sales and office occupations,42,29,13,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",19,-,19,-
32,"Production, transportation, and material moving occupations",24,D,D,-
33,Military,D,D,D,-
34,No occupation/not working outside home,512,345,167,-
35,Homemakers,140,135,5,-
36,Students or children,241,123,118,-
37,Retirees,11,5,6,-
38,Unemployed,120,82,38,-
39,Unknown,332,203,129,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,163,95,68,-
43,Employment-based preferences,64,36,28,-
44,Immediate relatives of U.S. citizens,650,430,220,-
45,Diversity,24,9,15,-
46,Refugees and asylees,103,43,60,-
47,Other,51,25,26,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,28,11,17,-
51,Canada,24,15,9,-
52,"China, People's Republic",52,32,20,-
53,Colombia,13,6,7,-
54,Cuba,44,23,21,-
55,El Salvador,16,7,9,-
56,Germany,20,D,D,-
57,India,37,20,17,-
58,Iraq,51,26,25,-
59,Jamaica,36,23,13,-
60,Kenya,24,14,10,-
61,"Korea, South",34,23,11,-
62,Mexico,178,101,77,-
63,Nepal,17,7,10,-
64,Peru,21,15,6,-
65,Philippines,106,74,32,-
66,Russia,15,D,D,-
67,Ukraine,14,10,4,-
68,United Kingdom,21,14,7,-
69,Vietnam,48,34,14,-
70,Other,256,153,103,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
