,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2007,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,778,380,398,-
6,,,,,
7,New arrivals,256,114,142,-
8,Adjustments of status,522,266,256,-
9,,,,,
10,Age,,,,
11,Under 18 years,151,76,75,-
12,18 to 24 years,79,35,44,-
13,25 to 34 years,233,118,115,-
14,35 to 44 years,172,82,90,-
15,45 to 54 years,70,39,31,-
16,55 to 64 years,40,17,23,-
17,65 years and over,33,13,20,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,254,141,113,-
22,Married,490,229,261,-
23,Other,31,8,23,-
24,Unknown,3,2,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",131,96,35,-
28,Service occupations,26,15,11,-
29,Sales and office occupations,25,12,13,-
30,"Farming, fishing, and forestry occupations",9,9,-,-
31,"Construction, extraction, maintenance and repair occupations",5,5,-,-
32,"Production, transportation, and material moving occupations",21,15,6,-
33,Military,-,-,-,-
34,No occupation/not working outside home,346,120,226,-
35,Homemakers,92,4,88,-
36,Students or children,200,97,103,-
37,Retirees,9,4,5,-
38,Unemployed,45,15,30,-
39,Unknown,215,108,107,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,60,28,32,-
43,Employment-based preferences,269,149,120,-
44,Immediate relatives of U.S. citizens,353,142,211,-
45,Diversity,41,27,14,-
46,Refugees and asylees,54,33,21,-
47,Other,1,1,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,11,4,7,-
51,Canada,15,10,5,-
52,Chile,8,4,4,-
53,China,96,36,60,-
54,France,8,5,3,-
55,Germany,20,10,10,-
56,Guatemala,13,8,5,-
57,India,49,26,23,-
58,Japan,9,D,D,-
59,Korea,10,4,6,-
60,Mexico,146,77,69,-
61,Nepal,73,47,26,-
62,Philippines,30,10,20,-
63,Russia,11,D,D,-
64,South Africa,11,6,5,-
65,Taiwan,10,3,7,-
66,Thailand,10,3,7,-
67,United Kingdom,41,23,18,-
68,Vietnam,16,6,10,-
69,Other,190,93,97,-
70,Unknown,1,-,1,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
