,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2010,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,811,379,432,-
6,,,,,
7,New arrivals,241,111,130,-
8,Adjustments of status,570,268,302,-
9,,,,,
10,Age,,,,
11,Under 18 years,136,67,69,-
12,18 to 24 years,74,31,43,-
13,25 to 34 years,250,112,138,-
14,35 to 44 years,205,104,101,-
15,45 to 54 years,62,34,28,-
16,55 to 64 years,43,11,32,-
17,65 years and over,41,20,21,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,232,124,108,-
22,Married,552,249,303,-
23,Other,24,3,21,-
24,Unknown,3,3,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",174,125,49,-
28,Service occupations,20,D,D,-
29,Sales and office occupations,21,7,14,-
30,"Farming, fishing, and forestry occupations",8,D,D,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",10,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,361,128,233,-
35,Homemakers,98,4,94,-
36,Students or children,168,85,83,-
37,Retirees,16,8,8,-
38,Unemployed,79,31,48,-
39,Unknown,217,94,123,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,38,17,21,-
43,Employment-based preferences,273,147,126,-
44,Immediate relatives of U.S. citizens,408,161,247,-
45,Diversity,59,35,24,-
46,Refugees and asylees,26,16,10,-
47,Other,7,3,4,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,11,8,3,-
51,Brazil,10,D,D,-
52,Canada,20,8,12,-
53,China,77,29,48,-
54,Ethiopia,15,5,10,-
55,France,19,10,9,-
56,Germany,18,10,8,-
57,India,50,29,21,-
58,Japan,25,6,19,-
59,"Korea, South",22,10,12,-
60,Mexico,137,59,78,-
61,Nepal,84,44,40,-
62,Peru,12,6,6,-
63,Philippines,18,5,13,-
64,Poland,10,5,5,-
65,Russia,15,8,7,-
66,Thailand,10,D,D,-
67,Ukraine,11,5,6,-
68,United Kingdom,37,23,14,-
69,Vietnam,12,5,7,-
70,Other,198,100,98,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
