,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2009,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,819,356,463,-
6,,,,,
7,New arrivals,292,125,167,-
8,Adjustments of status,527,231,296,-
9,,,,,
10,Age,,,,
11,Under 18 years,145,86,59,-
12,18 to 24 years,106,32,74,-
13,25 to 34 years,219,98,121,-
14,35 to 44 years,175,71,104,-
15,45 to 54 years,83,31,52,-
16,55 to 64 years,51,18,33,-
17,65 years and over,40,20,20,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,265,137,128,-
22,Married,516,210,306,-
23,Other,35,7,28,-
24,Unknown,3,2,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",129,83,46,-
28,Service occupations,31,13,18,-
29,Sales and office occupations,23,9,14,-
30,"Farming, fishing, and forestry occupations",D,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",12,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,403,142,261,-
35,Homemakers,131,3,128,-
36,Students or children,193,101,92,-
37,Retirees,11,8,3,-
38,Unemployed,68,30,38,-
39,Unknown,210,89,121,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,95,40,55,-
43,Employment-based preferences,207,110,97,-
44,Immediate relatives of U.S. citizens,419,162,257,-
45,Diversity,48,27,21,-
46,Refugees and asylees,45,13,32,-
47,Other,5,4,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,8,D,D,-
51,Canada,31,11,20,-
52,China,52,23,29,-
53,El Salvador,9,6,3,-
54,Germany,21,9,12,-
55,India,42,21,21,-
56,Italy,19,11,8,-
57,Japan,19,D,D,-
58,"Korea, South",22,11,11,-
59,Malaysia,9,4,5,-
60,Mexico,178,76,102,-
61,Nepal,54,24,30,-
62,New Zealand,9,4,5,-
63,Peru,14,7,7,-
64,Philippines,24,10,14,-
65,Russia,9,5,4,-
66,Sudan,12,D,D,-
67,Thailand,11,4,7,-
68,Ukraine,18,6,12,-
69,United Kingdom,43,25,18,-
70,Other,215,94,121,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
