,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,723,325,371,27
6,,,,,
7,New arrivals,292,116,149,27
8,Adjustments of status,431,209,222,-
9,,,,,
10,Age,,,,
11,Under 18 years,121,56,64,1
12,18 to 24 years,83,39,41,3
13,25 to 34 years,203,98,104,1
14,35 to 44 years,144,72,72,-
15,45 to 54 years,58,26,32,-
16,55 to 64 years,50,16,34,-
17,65 years and over,42,18,24,-
18,Unknown,22,-,-,22
19,,,,,
20,Marital status,,,,
21,Single,213,100,102,11
22,Married,477,218,247,12
23,Other,29,5,20,4
24,Unknown,4,2,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",126,90,33,3
28,Service occupations,25,13,11,1
29,Sales and office occupations,12,4,7,1
30,"Farming, fishing, and forestry occupations",11,8,D,D
31,"Construction, extraction, maintenance and repair occupations",5,5,-,-
32,"Production, transportation, and material moving occupations",20,15,D,D
33,Military,-,-,-,-
34,No occupation/not working outside home,326,101,207,18
35,Homemakers,98,D,81,D
36,Students or children,160,72,82,6
37,Retirees,8,D,D,-
38,Unemployed,60,22,D,D
39,Unknown,198,89,107,2
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,81,26,45,10
43,Employment-based preferences,187,100,84,3
44,Immediate relatives of U.S. citizens,349,146,192,11
45,Diversity,53,26,24,3
46,Refugees and asylees,38,18,20,-
47,Other,15,9,6,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,10,6,4,-
51,Australia,5,D,D,-
52,Burma,7,D,D,-
53,Canada,21,10,11,-
54,China,60,19,40,1
55,France,10,4,6,-
56,Germany,10,7,3,-
57,India,44,24,20,-
58,Iran,18,8,10,-
59,Italy,6,D,D,-
60,Japan,13,4,9,-
61,"Korea, South",22,12,7,3
62,Mexico,178,87,81,10
63,Nepal,108,48,58,2
64,Peru,11,4,7,-
65,Philippines,7,D,D,-
66,South Africa,9,3,6,-
67,Sweden,9,5,4,-
68,Thailand,13,6,7,-
69,United Kingdom,24,16,8,-
70,Other,137,50,77,10
71,Unknown,1,-,-,1
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
