,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,804,348,456,-
6,,,,,
7,New arrivals,311,131,180,-
8,Adjustments of status,493,217,276,-
9,,,,,
10,Age,,,,
11,Under 18 years,137,70,67,-
12,18 to 24 years,77,25,52,-
13,25 to 34 years,233,100,133,-
14,35 to 44 years,187,85,102,-
15,45 to 54 years,72,28,44,-
16,55 to 64 years,57,22,35,-
17,65 years and over,41,18,23,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,235,123,112,-
22,Married,534,217,317,-
23,Other,32,6,26,-
24,Unknown,3,2,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",161,108,53,-
28,Service occupations,26,16,10,-
29,Sales and office occupations,16,6,10,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,D,-
32,"Production, transportation, and material moving occupations",15,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,358,109,249,-
35,Homemakers,112,5,107,-
36,Students or children,174,87,87,-
37,Retirees,11,4,7,-
38,Unemployed,61,13,48,-
39,Unknown,220,92,128,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,109,49,60,-
43,Employment-based preferences,220,117,103,-
44,Immediate relatives of U.S. citizens,401,142,259,-
45,Diversity,34,17,17,-
46,Refugees and asylees,25,17,8,-
47,Other,15,6,9,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,8,5,3,-
51,Brazil,12,4,8,-
52,Canada,18,9,9,-
53,China,96,42,54,-
54,Ethiopia,16,9,7,-
55,Germany,17,6,11,-
56,India,74,41,33,-
57,Iran,11,6,5,-
58,"Korea, South",25,6,19,-
59,Mexico,161,60,101,-
60,Nepal,79,42,37,-
61,Netherlands,10,5,5,-
62,Peru,10,D,D,-
63,Philippines,11,D,D,-
64,Russia,13,5,8,-
65,Sweden,9,3,6,-
66,Taiwan,11,6,5,-
67,Ukraine,12,4,8,-
68,United Kingdom,20,15,5,-
69,Vietnam,17,8,9,-
70,Other,174,68,106,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
