,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2007,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,404,168,236,-
6,,,,,
7,New arrivals,165,59,106,-
8,Adjustments of status,239,109,130,-
9,,,,,
10,Age,,,,
11,Under 18 years,88,44,44,-
12,18 to 24 years,46,15,31,-
13,25 to 34 years,110,54,56,-
14,35 to 44 years,61,28,33,-
15,45 to 54 years,38,8,30,-
16,55 to 64 years,36,12,24,-
17,65 years and over,25,7,18,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,131,61,70,-
22,Married,251,106,145,-
23,Other,18,-,18,-
24,Unknown,4,1,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",22,12,10,-
28,Service occupations,7,3,4,-
29,Sales and office occupations,9,6,3,-
30,"Farming, fishing, and forestry occupations",10,10,-,-
31,"Construction, extraction, maintenance and repair occupations",3,3,-,-
32,"Production, transportation, and material moving occupations",19,15,4,-
33,Military,-,-,-,-
34,No occupation/not working outside home,202,52,150,-
35,Homemakers,87,D,D,-
36,Students or children,93,42,51,-
37,Retirees,D,-,D,-
38,Unemployed,D,D,D,-
39,Unknown,132,67,65,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,96,38,58,-
43,Employment-based preferences,50,28,22,-
44,Immediate relatives of U.S. citizens,237,88,149,-
45,Diversity,4,D,D,-
46,Refugees and asylees,9,D,D,-
47,Other,8,7,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,5,D,D,-
51,Canada,10,6,4,-
52,China,16,6,10,-
53,El Salvador,8,4,4,-
54,Guatemala,8,D,D,-
55,India,3,D,D,-
56,Iran,3,D,D,-
57,Japan,7,-,7,-
58,Mexico,249,107,142,-
59,Nepal,6,3,3,-
60,Netherlands,3,3,-,-
61,Nigeria,3,D,D,-
62,Peru,4,D,D,-
63,Philippines,4,-,4,-
64,Russia,5,D,D,-
65,Taiwan,5,D,D,-
66,Ukraine,4,D,D,-
67,United Kingdom,7,D,D,-
68,Vietnam,6,D,D,-
69,Other,45,15,30,-
70,Unknown,3,2,1,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
