,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,743,363,380,-
6,,,,,
7,New arrivals,280,119,161,-
8,Adjustments of status,463,244,219,-
9,,,,,
10,Age,,,,
11,Under 18 years,221,106,115,-
12,18 to 24 years,116,51,65,-
13,25 to 34 years,174,98,76,-
14,35 to 44 years,102,52,50,-
15,45 to 54 years,68,24,44,-
16,55 to 64 years,36,18,18,-
17,65 years and over,26,14,12,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,326,166,160,-
22,Married,385,184,201,-
23,Other,26,8,18,-
24,Unknown,6,5,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",36,28,8,-
28,Service occupations,25,18,7,-
29,Sales and office occupations,D,D,D,-
30,"Farming, fishing, and forestry occupations",8,8,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",44,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,409,144,265,-
35,Homemakers,130,D,D,-
36,Students or children,229,113,116,-
37,Retirees,3,D,D,-
38,Unemployed,47,D,D,-
39,Unknown,208,117,91,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,111,46,65,-
43,Employment-based preferences,35,17,18,-
44,Immediate relatives of U.S. citizens,279,119,160,-
45,Diversity,23,13,10,-
46,Refugees and asylees,277,153,124,-
47,Other,18,15,3,-
48,,,,,
49,Leading countries of birth,,,,
50,Burma,72,43,29,-
51,Canada,9,5,4,-
52,China,19,8,11,-
53,"Congo, Democratic Republic of the",4,D,D,-
54,Cuba,6,D,D,-
55,El Salvador,8,D,D,-
56,Eritrea,4,4,-,-
57,Ethiopia,19,6,13,-
58,Germany,6,D,D,-
59,Guatemala,14,9,5,-
60,Honduras,5,D,D,-
61,India,10,5,5,-
62,Kenya,67,41,26,-
63,Mexico,294,132,162,-
64,Nepal,10,7,3,-
65,Peru,5,D,D,-
66,Philippines,7,3,4,-
67,Somalia,76,37,39,-
68,Thailand,33,15,18,-
69,United Kingdom,5,D,D,-
70,Other,70,27,43,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
