,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2007,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,220,93,127,-
6,,,,,
7,New arrivals,94,38,56,-
8,Adjustments of status,126,55,71,-
9,,,,,
10,Age,,,,
11,Under 18 years,48,25,23,-
12,18 to 24 years,31,13,18,-
13,25 to 34 years,73,28,45,-
14,35 to 44 years,42,16,26,-
15,45 to 54 years,11,D,D,-
16,55 to 64 years,10,3,7,-
17,65 years and over,5,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,73,D,D,-
22,Married,141,54,87,-
23,Other,5,D,D,-
24,Unknown,1,-,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",17,7,10,-
28,Service occupations,17,8,9,-
29,Sales and office occupations,10,D,D,-
30,"Farming, fishing, and forestry occupations",5,D,D,-
31,"Construction, extraction, maintenance and repair occupations",7,7,-,-
32,"Production, transportation, and material moving occupations",6,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,92,30,62,-
35,Homemakers,30,D,D,-
36,Students or children,50,D,D,-
37,Retirees,D,D,-,-
38,Unemployed,D,D,10,-
39,Unknown,66,29,37,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,35,13,22,-
43,Employment-based preferences,27,11,16,-
44,Immediate relatives of U.S. citizens,138,60,78,-
45,Diversity,9,D,D,-
46,Refugees and asylees,7,D,D,-
47,Other,4,2,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,11,3,8,-
51,Australia,4,D,D,-
52,Brazil,5,D,D,-
53,Bulgaria,7,D,D,-
54,Canada,D,D,D,-
55,Czechoslovakia (former),D,-,D,-
56,El Salvador,D,D,D,-
57,Germany,D,D,D,-
58,Guatemala,4,D,D,-
59,Honduras,7,D,D,-
60,India,7,D,D,-
61,Korea,D,D,D,-
62,Mexico,111,47,64,-
63,Nepal,6,D,D,-
64,Romania,4,D,D,-
65,Slovak Republic,3,3,-,-
66,Soviet Union (former),4,-,4,-
67,Sweden,4,D,D,-
68,United Kingdom,6,D,D,-
69,Other,27,11,16,-
70,D  Data withheld to limit disclosure.,,,,
71,- Represents zero.,,,,
72,Source: U.S. Department of Homeland Security,,,,
