,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,185,80,99,6
6,,,,,
7,New arrivals,84,35,43,6
8,Adjustments of status,101,45,56,-
9,,,,,
10,Age,,,,
11,Under 18 years,35,16,19,-
12,18 to 24 years,22,10,12,-
13,25 to 34 years,58,26,32,-
14,35 to 44 years,27,15,12,-
15,45 to 54 years,18,6,12,-
16,55 to 64 years,12,D,D,-
17,65 years and over,7,D,D,-
18,Unknown,6,-,-,6
19,,,,,
20,Marital status,,,,
21,Single,51,D,D,-
22,Married,123,51,67,5
23,Other,8,D,D,D
24,Unknown,3,2,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",16,8,7,1
28,Service occupations,7,D,D,-
29,Sales and office occupations,3,D,D,-
30,"Farming, fishing, and forestry occupations",4,D,D,-
31,"Construction, extraction, maintenance and repair occupations",4,4,-,-
32,"Production, transportation, and material moving occupations",8,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,83,27,52,4
35,Homemakers,31,4,23,4
36,Students or children,43,20,23,-
37,Retirees,D,D,D,-
38,Unemployed,D,D,D,-
39,Unknown,60,29,30,1
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,23,14,8,1
43,Employment-based preferences,13,8,5,-
44,Immediate relatives of U.S. citizens,123,41,78,4
45,Diversity,9,D,D,D
46,Refugees and asylees,11,D,D,-
47,Other,6,4,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,D,-,D,-
51,Australia,4,D,D,1
52,Bulgaria,D,D,-,1
53,Canada,4,D,D,-
54,Chile,D,D,D,-
55,Czech Republic,D,D,-,-
56,El Salvador,3,D,D,-
57,Honduras,10,5,5,-
58,Indonesia,D,-,D,-
59,Jamaica,3,D,D,-
60,Japan,D,-,D,-
61,Mauritania,4,D,D,-
62,Mexico,92,37,52,3
63,Nepal,8,5,3,-
64,Peru,7,3,3,1
65,Romania,3,D,D,-
66,Senegal,3,-,3,-
67,South Africa,4,D,D,-
68,United Kingdom,D,D,-,-
69,Uzbekistan,5,D,D,-
70,Other,22,9,13,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
