,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,254,103,151,-
6,,,,,
7,New arrivals,100,43,57,-
8,Adjustments of status,154,60,94,-
9,,,,,
10,Age,,,,
11,Under 18 years,44,20,24,-
12,18 to 24 years,45,18,27,-
13,25 to 34 years,75,27,48,-
14,35 to 44 years,53,19,34,-
15,45 to 54 years,22,12,10,-
16,55 to 64 years,11,D,D,-
17,65 years and over,4,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,82,42,40,-
22,Married,161,56,105,-
23,Other,7,3,4,-
24,Unknown,4,2,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",16,8,8,-
28,Service occupations,11,3,8,-
29,Sales and office occupations,D,D,D,-
30,"Farming, fishing, and forestry occupations",D,D,D,-
31,"Construction, extraction, maintenance and repair occupations",5,5,-,-
32,"Production, transportation, and material moving occupations",8,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,105,35,70,-
35,Homemakers,33,D,D,-
36,Students or children,55,25,30,-
37,Retirees,-,-,-,-
38,Unemployed,17,D,D,-
39,Unknown,103,42,61,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,49,20,29,-
43,Employment-based preferences,10,5,5,-
44,Immediate relatives of U.S. citizens,165,59,106,-
45,Diversity,11,6,5,-
46,Refugees and asylees,16,11,5,-
47,Other,3,2,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,3,-,3,-
51,Australia,3,D,D,-
52,Belarus,4,-,4,-
53,Bolivia,4,D,D,-
54,Brazil,6,D,D,-
55,Bulgaria,10,5,5,-
56,Canada,6,3,3,-
57,Central African Republic,5,D,D,-
58,Chile,3,-,3,-
59,China,5,D,D,-
60,El Salvador,4,D,D,-
61,Honduras,13,5,8,-
62,Mexico,114,48,66,-
63,Nepal,4,D,D,-
64,New Zealand,3,D,D,-
65,Peru,3,-,3,-
66,Philippines,4,D,D,-
67,Slovakia,3,-,3,-
68,Soviet Union (former),7,D,D,-
69,United Kingdom,8,4,4,-
70,Other,42,19,23,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
