,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,91,45,46,-
6,,,,,
7,New arrivals,52,23,29,-
8,Adjustments of status,39,22,17,-
9,,,,,
10,Age,,,,
11,Under 18 years,14,D,D,-
12,18 to 24 years,9,4,5,-
13,25 to 34 years,19,9,10,-
14,35 to 44 years,18,6,12,-
15,45 to 54 years,11,4,7,-
16,55 to 64 years,11,6,5,-
17,65 years and over,9,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,59,27,32,-
22,Single,27,D,D,-
23,Other,5,D,D,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",D,D,D,-
28,Service occupations,D,-,D,-
29,Sales and office occupations,-,-,-,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",9,-,9,-
32,"Production, transportation, and material moving occupations",8,-,8,-
33,Military,-,-,-,-
34,No occupation/not working outside home,45,D,D,-
35,Homemakers,D,11,D,-
36,Students or children,18,11,7,-
37,Retirees,D,D,-,-
38,Unemployed,13,D,D,-
39,Unknown,21,13,8,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,D,3,D,-
43,Employment-based preferences,11,3,8,-
44,Immediate relatives of U.S. citizens,70,38,32,-
45,Diversity,-,-,-,-
46,Refugees and asylees,D,-,D,-
47,Other,1,1,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,D,-,D,-
51,Brazil,D,-,D,-
52,"China, People's Republic",6,D,D,-
53,Colombia,D,D,-,-
54,Costa Rica,D,D,-,-
55,Cuba,D,-,D,-
56,Dominican Republic,3,3,-,-
57,Indonesia,D,-,D,-
58,Jamaica,D,-,D,-
59,"Korea, South",D,D,D,-
60,Mexico,47,20,27,-
61,Morocco,D,-,D,-
62,Nepal,D,D,D,-
63,Netherlands,D,-,D,-
64,Nigeria,D,-,D,-
65,Peru,3,D,D,-
66,Philippines,6,3,3,-
67,Russia,D,D,-,-
68,United Kingdom,D,D,D,-
69,Vietnam,5,D,D,-
70,Other,3,2,1,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
