,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,133,53,80,-
6,,,,,
7,New arrivals,71,26,45,-
8,Adjustments of status,62,27,35,-
9,,,,,
10,Age,,,,
11,Under 18 years,30,10,20,-
12,18 to 24 years,13,6,7,-
13,25 to 34 years,28,11,17,-
14,35 to 44 years,30,16,14,-
15,45 to 54 years,13,D,D,-
16,55 to 64 years,10,D,D,-
17,65 years and over,9,4,5,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,48,D,D,-
22,Married,72,32,40,-
23,Other,10,D,D,-
24,Unknown,3,2,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",11,7,4,-
28,Service occupations,4,4,-,-
29,Sales and office occupations,3,-,3,-
30,"Farming, fishing, and forestry occupations",4,-,4,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",D,D,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,67,18,49,-
35,Homemakers,18,D,D,-
36,Students or children,32,12,20,-
37,Retirees,-,-,-,-
38,Unemployed,17,D,D,-
39,Unknown,40,20,20,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,32,13,19,-
43,Employment-based preferences,14,6,8,-
44,Immediate relatives of U.S. citizens,71,26,45,-
45,Diversity,8,D,D,-
46,Refugees and asylees,4,D,D,-
47,Other,4,3,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Cambodia,3,-,3,-
51,Canada,8,4,4,-
52,China,12,5,7,-
53,Colombia,D,D,-,-
54,El Salvador,D,-,D,-
55,Ethiopia,D,-,D,-
56,Guatemala,D,D,D,-
57,Honduras,4,D,D,-
58,India,4,4,-,-
59,Indonesia,5,D,D,-
60,Iran,4,D,D,-
61,Iraq,3,D,D,-
62,"Korea, South",3,-,3,-
63,Mexico,42,15,27,-
64,Norway,3,D,D,-
65,Peru,D,-,D,-
66,Philippines,7,D,D,-
67,Romania,D,D,D,-
68,United Kingdom,3,3,-,-
69,Vietnam,4,D,D,-
70,Other,16,6,10,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
