,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2010,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,153,82,71,-
6,,,,,
7,New arrivals,53,26,27,-
8,Adjustments of status,100,56,44,-
9,,,,,
10,Age,,,,
11,Under 18 years,27,16,11,-
12,18 to 24 years,34,15,19,-
13,25 to 34 years,45,28,17,-
14,35 to 44 years,20,11,9,-
15,45 to 54 years,15,6,9,-
16,55 to 64 years,7,D,D,-
17,65 years and over,5,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,78,44,34,-
22,Married,66,D,D,-
23,Other,4,D,D,-
24,Unknown,5,2,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",3,3,-,-
28,Service occupations,6,D,D,-
29,Sales and office occupations,-,-,-,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",14,D,D,-
33,Military,D,D,-,-
34,No occupation/not working outside home,67,26,41,-
35,Homemakers,25,4,21,-
36,Students or children,32,17,15,-
37,Retirees,-,-,-,-
38,Unemployed,10,5,5,-
39,Unknown,60,38,22,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,37,D,D,-
43,Employment-based preferences,5,D,D,-
44,Immediate relatives of U.S. citizens,47,24,23,-
45,Diversity,-,-,-,-
46,Refugees and asylees,55,35,20,-
47,Other,9,7,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Djibouti,D,D,-,-
51,El Salvador,11,6,5,-
52,Ethiopia,D,D,-,-
53,Germany,D,-,D,-
54,Guatemala,11,D,D,-
55,India,D,-,D,-
56,Kazakhstan,D,D,-,-
57,Kenya,6,D,D,-
58,Mexico,64,27,37,-
59,Nepal,D,D,D,-
60,Nicaragua,D,D,D,-
61,Pakistan,D,D,-,-
62,Rwanda,D,D,-,-
63,Somalia,43,25,18,-
64,South Africa,3,D,D,-
65,Sudan,D,D,-,-
66,D  Data withheld to limit disclosure.,,,,
67,- Represents zero.,,,,
68,Source: U.S. Department of Homeland Security,,,,
