,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,161,99,61,1
6,,,,,
7,New arrivals,35,21,13,1
8,Adjustments of status,126,78,48,-
9,,,,,
10,Age,,,,
11,Under 18 years,27,12,14,1
12,18 to 24 years,39,29,10,-
13,25 to 34 years,51,33,18,-
14,35 to 44 years,22,14,8,-
15,45 to 54 years,12,8,4,-
16,55 to 64 years,4,D,D,-
17,65 years and over,6,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,85,52,32,1
22,Married,64,D,D,-
23,Other,8,D,D,-
24,Unknown,4,3,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",4,D,D,-
28,Service occupations,9,D,D,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",5,5,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",23,18,5,-
33,Military,-,-,-,-
34,No occupation/not working outside home,50,18,31,1
35,Homemakers,11,D,D,-
36,Students or children,30,14,15,1
37,Retirees,-,-,-,-
38,Unemployed,9,D,D,-
39,Unknown,67,47,20,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,D,D,7,1
43,Employment-based preferences,D,D,-,-
44,Immediate relatives of U.S. citizens,43,28,15,-
45,Diversity,D,D,-,-
46,Refugees and asylees,102,63,39,-
47,Other,1,1,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Central African Republic,D,-,D,-
51,"Congo, Democratic Republic of the",D,D,D,-
52,"Congo, Republic of the",D,-,D,-
53,El Salvador,5,D,D,-
54,Eritrea,D,D,-,-
55,Ethiopia,8,8,-,-
56,Guatemala,9,5,4,-
57,Iraq,D,D,D,-
58,Kenya,17,10,7,-
59,Mexico,39,24,14,1
60,Somalia,68,42,26,-
61,Sudan,D,D,-,-
62,Turkey,4,D,D,-
63,Uganda,D,D,-,-
64,D  Data withheld to limit disclosure.,,,,
65,- Represents zero.,,,,
66,Source: U.S. Department of Homeland Security,,,,
