,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,158,84,71,3
6,,,,,
7,New arrivals,44,20,21,3
8,Adjustments of status,114,64,50,-
9,,,,,
10,Age,,,,
11,Under 18 years,26,11,15,-
12,18 to 24 years,30,14,16,-
13,25 to 34 years,57,38,19,-
14,35 to 44 years,24,16,8,-
15,45 to 54 years,9,D,D,-
16,55 to 64 years,6,D,D,-
17,65 years and over,3,D,D,-
18,Unknown,3,-,-,3
19,,,,,
20,Marital status,,,,
21,Single,78,45,33,-
22,Married,67,D,32,D
23,Other,9,D,6,D
24,Unknown,4,4,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",14,10,4,-
28,Service occupations,11,7,4,-
29,Sales and office occupations,D,D,-,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",17,13,4,-
33,Military,-,-,-,-
34,No occupation/not working outside home,55,15,37,3
35,Homemakers,17,-,14,3
36,Students or children,29,12,17,-
37,Retirees,-,-,-,-
38,Unemployed,9,3,6,-
39,Unknown,58,36,22,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,22,D,D,-
43,Employment-based preferences,D,D,D,-
44,Immediate relatives of U.S. citizens,46,19,24,3
45,Diversity,D,D,D,-
46,Refugees and asylees,80,48,32,-
47,Other,4,4,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,D,-,D,-
51,Burma,6,D,D,-
52,Colombia,D,D,-,-
53,"Congo, Democratic Republic of the",3,D,D,-
54,El Salvador,5,D,D,-
55,Eritrea,4,4,-,-
56,Ethiopia,12,9,3,-
57,Guatemala,5,D,D,-
58,Honduras,D,D,-,-
59,Kenya,9,5,4,-
60,"Korea, South",D,-,-,D
61,Mexico,47,20,25,2
62,Morocco,D,D,-,-
63,Philippines,D,D,D,-
64,Portugal,4,D,D,-
65,Somalia,52,24,28,-
66,South Africa,D,D,-,-
67,Sudan,D,D,-,-
68,Yemen,D,-,D,-
69,D  Data withheld to limit disclosure.,,,,
70,- Represents zero.,,,,
71,Source: U.S. Department of Homeland Security,,,,
