,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2010,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,94,39,55,-
6,,,,,
7,New arrivals,30,12,18,-
8,Adjustments of status,64,27,37,-
9,,,,,
10,Age,,,,
11,Under 18 years,16,9,7,-
12,18 to 24 years,21,11,10,-
13,25 to 34 years,20,9,11,-
14,35 to 44 years,18,5,13,-
15,45 to 54 years,13,5,8,-
16,55 to 64 years,3,-,3,-
17,65 years and over,3,-,3,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,23,12,11,-
22,Married,67,26,41,-
23,Other,3,-,3,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",8,D,D,-
28,Service occupations,3,D,D,-
29,Sales and office occupations,-,-,-,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",D,D,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,46,15,31,-
35,Homemakers,15,D,D,-
36,Students or children,17,9,8,-
37,Retirees,-,-,-,-
38,Unemployed,14,D,D,-
39,Unknown,34,16,18,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,16,D,D,-
43,Employment-based preferences,5,D,D,-
44,Immediate relatives of U.S. citizens,69,28,41,-
45,Diversity,D,-,D,-
46,Refugees and asylees,D,-,D,-
47,Other,1,-,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Albania,D,D,-,-
51,Australia,D,-,D,-
52,Barbados,D,D,-,-
53,Bosnia and Herzegovina,D,-,D,-
54,Cambodia,D,-,D,-
55,China,11,6,5,-
56,Colombia,3,D,D,-
57,Dominican Republic,D,D,-,-
58,Ethiopia,D,-,D,-
59,Germany,D,-,D,-
60,Ghana,D,-,D,-
61,India,D,D,-,-
62,Indonesia,D,-,D,-
63,Iran,D,-,D,-
64,Mexico,37,19,18,-
65,Peru,D,D,D,-
66,Philippines,7,D,D,-
67,Soviet Union (former),5,-,5,-
68,Thailand,D,-,D,-
69,Vietnam,3,D,D,-
70,Other,11,5,6,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
