,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2009,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,129,48,81,-
6,,,,,
7,New arrivals,44,14,30,-
8,Adjustments of status,85,34,51,-
9,,,,,
10,Age,,,,
11,Under 18 years,21,7,14,-
12,18 to 24 years,17,6,11,-
13,25 to 34 years,23,6,17,-
14,35 to 44 years,27,12,15,-
15,45 to 54 years,22,9,13,-
16,55 to 64 years,11,5,6,-
17,65 years and over,8,3,5,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,36,D,D,-
22,Married,85,32,53,-
23,Other,5,D,D,-
24,Unknown,3,2,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",14,7,7,-
28,Service occupations,D,D,D,-
29,Sales and office occupations,4,D,D,-
30,"Farming, fishing, and forestry occupations",4,4,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",6,6,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,63,13,50,-
35,Homemakers,24,D,D,-
36,Students or children,23,8,15,-
37,Retirees,D,-,D,-
38,Unemployed,D,D,D,-
39,Unknown,32,13,19,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,30,12,18,-
43,Employment-based preferences,12,D,D,-
44,Immediate relatives of U.S. citizens,78,24,54,-
45,Diversity,D,-,D,-
46,Refugees and asylees,D,D,D,-
47,Other,4,3,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Canada,D,-,D,-
51,China,4,D,D,-
52,Colombia,3,-,3,-
53,Ecuador,D,-,D,-
54,El Salvador,D,-,D,-
55,Finland,D,-,D,-
56,Germany,D,-,D,-
57,India,D,D,D,-
58,Jamaica,D,D,D,-
59,"Korea, South",5,D,D,-
60,Mexico,69,32,37,-
61,Morocco,D,D,D,-
62,Nepal,D,-,D,-
63,Panama,3,D,D,-
64,Peru,D,-,D,-
65,Philippines,4,-,4,-
66,Thailand,D,-,D,-
67,Ukraine,3,D,D,-
68,United Kingdom,3,D,D,-
69,Vietnam,5,D,D,-
70,Other,12,4,8,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
