,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2010,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Denver-Aurora-Broomfield, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,8214,3817,4397,-
6,,,,,
7,New arrivals,3366,1563,1803,-
8,Adjustments of status,4848,2254,2594,-
9,,,,,
10,Age,,,,
11,Under 18 years,1562,803,759,-
12,18 to 24 years,1155,543,612,-
13,25 to 34 years,2204,1021,1183,-
14,35 to 44 years,1512,699,813,-
15,45 to 54 years,776,335,441,-
16,55 to 64 years,531,213,318,-
17,65 years and over,474,203,271,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,2761,1539,1222,-
22,Married,4951,2164,2787,-
23,Other,423,70,353,-
24,Unknown,79,44,35,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",707,475,232,-
28,Service occupations,338,188,150,-
29,Sales and office occupations,241,108,133,-
30,"Farming, fishing, and forestry occupations",90,D,D,-
31,"Construction, extraction, maintenance and repair occupations",62,D,D,-
32,"Production, transportation, and material moving occupations",372,309,63,-
33,Military,-,-,-,-
34,No occupation/not working outside home,3879,1387,2492,-
35,Homemakers,1141,78,1063,-
36,Students or children,2000,1013,987,-
37,Retirees,82,39,43,-
38,Unemployed,656,257,399,-
39,Unknown,2525,1217,1308,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,1020,476,544,-
43,Employment-based preferences,832,433,399,-
44,Immediate relatives of U.S. citizens,3960,1617,2343,-
45,Diversity,625,368,257,-
46,Refugees and asylees,1582,816,766,-
47,Other,195,107,88,-
48,,,,,
49,Leading countries of birth,,,,
50,Bhutan,304,150,154,-
51,Burma,266,146,120,-
52,Canada,145,62,83,-
53,China,328,139,189,-
54,El Salvador,89,43,46,-
55,Ethiopia,523,258,265,-
56,Ghana,164,84,80,-
57,India,274,135,139,-
58,Iran,95,41,54,-
59,Iraq,267,139,128,-
60,"Korea, South",167,83,84,-
61,Mexico,1863,893,970,-
62,Nepal,263,143,120,-
63,Peru,100,42,58,-
64,Philippines,173,56,117,-
65,Russia,118,50,68,-
66,Sudan,102,51,51,-
67,Thailand,185,82,103,-
68,United Kingdom,108,67,41,-
69,Vietnam,375,155,220,-
70,Other,2299,994,1305,-
71,Unknown,6,4,2,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
