,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Denver-Aurora-Broomfield, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,8967,4203,4764,-
6,,,,,
7,New arrivals,3651,1673,1978,-
8,Adjustments of status,5316,2530,2786,-
9,,,,,
10,Age,,,,
11,Under 18 years,1881,988,893,-
12,18 to 24 years,1353,640,713,-
13,25 to 34 years,2237,1017,1220,-
14,35 to 44 years,1572,765,807,-
15,45 to 54 years,813,345,468,-
16,55 to 64 years,665,236,429,-
17,65 years and over,446,212,234,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,3229,1773,1456,-
22,Married,5190,2292,2898,-
23,Other,477,95,382,-
24,Unknown,71,43,28,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",786,528,258,-
28,Service occupations,381,212,169,-
29,Sales and office occupations,208,84,124,-
30,"Farming, fishing, and forestry occupations",95,D,D,-
31,"Construction, extraction, maintenance and repair occupations",66,D,D,-
32,"Production, transportation, and material moving occupations",344,287,57,-
33,Military,-,-,-,-
34,No occupation/not working outside home,4341,1640,2701,-
35,Homemakers,1167,70,1097,-
36,Students or children,2381,1246,1135,-
37,Retirees,74,27,47,-
38,Unemployed,719,297,422,-
39,Unknown,2746,1316,1430,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,1173,553,620,-
43,Employment-based preferences,894,458,436,-
44,Immediate relatives of U.S. citizens,3964,1607,2357,-
45,Diversity,571,326,245,-
46,Refugees and asylees,2156,1126,1030,-
47,Other,209,133,76,-
48,,,,,
49,Leading countries of birth,,,,
50,Bhutan,462,236,226,-
51,Burma,302,167,135,-
52,Canada,183,86,97,-
53,China,397,155,242,-
54,"Congo, Democratic Republic of the",190,93,97,-
55,Eritrea,99,52,47,-
56,Ethiopia,608,279,329,-
57,Ghana,165,93,72,-
58,India,344,179,165,-
59,Iraq,239,135,104,-
60,"Korea, South",136,67,69,-
61,Mexico,2028,930,1098,-
62,Nepal,357,192,165,-
63,Peru,98,42,56,-
64,Philippines,167,44,123,-
65,Russia,123,46,77,-
66,Somalia,94,44,50,-
67,Thailand,163,60,103,-
68,United Kingdom,85,53,32,-
69,Vietnam,361,150,211,-
70,Other,2355,1094,1261,-
71,Unknown,11,6,5,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
