,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2008,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins-Loveland, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,397,185,212,-
6,,,,,
7,New arrivals,141,63,78,-
8,Adjustments of status,256,122,134,-
9,,,,,
10,Age,,,,
11,Under 18 years,85,35,50,-
12,18 to 24 years,45,23,22,-
13,25 to 34 years,89,49,40,-
14,35 to 44 years,95,42,53,-
15,45 to 54 years,42,14,28,-
16,55 to 64 years,25,13,12,-
17,65 years and over,16,9,7,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,119,D,D,-
22,Married,264,123,141,-
23,Other,10,D,D,-
24,Unknown,4,2,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",69,46,23,-
28,Service occupations,13,5,8,-
29,Sales and office occupations,9,D,D,-
30,"Farming, fishing, and forestry occupations",4,D,D,-
31,"Construction, extraction, maintenance and repair occupations",4,4,-,-
32,"Production, transportation, and material moving occupations",8,8,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,175,58,117,-
35,Homemakers,41,D,D,-
36,Students or children,104,45,59,-
37,Retirees,4,D,D,-
38,Unemployed,26,D,D,-
39,Unknown,115,57,58,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,35,17,18,-
43,Employment-based preferences,100,46,54,-
44,Immediate relatives of U.S. citizens,228,102,126,-
45,Diversity,19,11,8,-
46,Refugees and asylees,11,6,5,-
47,Other,4,3,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,4,D,D,-
51,Argentina,4,D,D,-
52,Bangladesh,4,D,D,-
53,Canada,12,4,8,-
54,China,56,24,32,-
55,Colombia,9,D,D,-
56,Ecuador,5,D,D,-
57,Ethiopia,9,3,6,-
58,France,4,D,D,-
59,Germany,10,6,4,-
60,Guatemala,8,4,4,-
61,India,13,4,9,-
62,Indonesia,5,D,D,-
63,Korea,18,8,10,-
64,Mexico,76,39,37,-
65,Philippines,9,4,5,-
66,Russia,17,9,8,-
67,Soviet Union (former),6,D,D,-
68,United Kingdom,8,4,4,-
69,Vietnam,11,4,7,-
70,Other,109,52,57,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
