,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2007,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,66,33,33,-
6,,,,,
7,New arrivals,22,12,10,-
8,Adjustments of status,44,21,23,-
9,,,,,
10,Age,,,,
11,Under 18 years,15,10,5,-
12,18 to 24 years,7,4,3,-
13,25 to 34 years,17,8,9,-
14,35 to 44 years,16,7,9,-
15,45 to 54 years,5,D,D,-
16,55 to 64 years,D,D,D,-
17,65 years and over,D,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,24,19,5,-
22,Married,40,14,26,-
23,Other,-,-,-,-
24,Unknown,2,-,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",D,D,D,-
28,Service occupations,-,-,-,-
29,Sales and office occupations,-,-,-,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",8,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,28,D,D,-
35,Homemakers,D,-,D,-
36,Students or children,14,D,D,-
37,Retirees,-,-,-,-
38,Unemployed,D,-,D,-
39,Unknown,25,13,12,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,13,D,D,-
43,Employment-based preferences,D,6,D,-
44,Immediate relatives of U.S. citizens,29,15,14,-
45,Diversity,-,-,-,-
46,Refugees and asylees,D,D,D,-
47,Other,12,8,4,-
48,,,,,
49,Leading countries of birth,,,,
50,Cameroon,D,-,D,-
51,China,D,-,D,-
52,Egypt,D,D,-,-
53,Guatemala,15,D,D,-
54,Mexico,45,20,25,-
55,Nigeria,D,D,D,-
56,D  Data withheld to limit disclosure.,,,,
57,- Represents zero.,,,,
58,Source: U.S. Department of Homeland Security,,,,
