,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2008,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,116,54,62,-
6,,,,,
7,New arrivals,43,18,25,-
8,Adjustments of status,73,36,37,-
9,,,,,
10,Age,,,,
11,Under 18 years,25,12,13,-
12,18 to 24 years,17,8,9,-
13,25 to 34 years,29,14,15,-
14,35 to 44 years,18,9,9,-
15,45 to 54 years,6,3,3,-
16,55 to 64 years,8,3,5,-
17,65 years and over,13,5,8,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,44,23,21,-
22,Married,68,31,37,-
23,Other,4,-,4,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",D,D,D,-
28,Service occupations,D,-,D,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",4,4,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",17,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,57,17,40,-
35,Homemakers,27,D,D,-
36,Students or children,26,D,D,-
37,Retirees,-,-,-,-
38,Unemployed,4,D,D,-
39,Unknown,32,18,14,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,12,D,D,-
43,Employment-based preferences,6,D,D,-
44,Immediate relatives of U.S. citizens,57,23,34,-
45,Diversity,-,-,-,-
46,Refugees and asylees,36,21,15,-
47,Other,5,4,1,-
48,,,,,
49,Leading countries of birth,,,,
50,China,D,-,D,-
51,"Congo, Democratic Republic of the",5,D,D,-
52,Ecuador,D,-,D,-
53,El Salvador,6,D,D,-
54,Eritrea,D,D,-,-
55,Germany,D,-,D,-
56,Guatemala,7,D,D,-
57,Jordan,D,D,D,-
58,Kenya,4,D,D,-
59,Mexico,57,25,32,-
60,Philippines,D,-,D,-
61,Romania,D,-,D,-
62,Russia,3,D,D,-
63,Somalia,20,11,9,-
64,Tanzania,4,D,D,-
65,United Kingdom,D,D,-,-
66,D  Data withheld to limit disclosure.,,,,
67,- Represents zero.,,,,
68,Source: U.S. Department of Homeland Security,,,,
