,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
0,C-11238-55484,2011-10-04,2011-08-26,DENIED,H-2B,CO,2011-11-14,2012-04-30,"L-O VAIL HOTEL, INC. DBA VAIL CASCADE RESORT & SPA",1300 WESTHAVEN DRIVE,,VAIL,CO,81657,AMY JILL NOVAK,VAIL,CO,211.482-018,Food-And-Beverage Checker,359099.0,"Food Preparation and Serving Related Workers, All Other",FOOD AND BEVERAGE CHECKER,20.0,0,8.11,HR,8.11,HR
1,C-11234-55450,2011-10-06,2011-08-22,CERTIFIED,H-2B,CO,2011-10-06,2012-04-15,PARK HYATT BEAVER CREEK,50 WEST THOMAS PLACE,,AVON,CO,81620,"CHRIS JONATHAN POOLEY, ESQ. / LAW OFFICE OF CHRIS",AVON,CO,318.687-010,Kitchen Helper,359021.0,Dishwashers,KITCHEN HELPER,15.0,15,,,,
2,C-11234-55452,2011-10-06,2011-08-22,CERTIFIED,H-2B,CO,2011-10-01,2012-04-15,PARK HYATT BEAVER CREEK,50 WEST THOMAS PLACE,,AVON,CO,81620,"CHRIS JONATHAN POOLEY, ESQ.",AVON,CO,620.664-014,Maintenance Mechanic Helper,499098.0,"Helpers--Installation, Maintenance, and Repair Workers",MAINTENANCE MECHANIC HELPER,5.0,5,15.26,HR,15.26,HR
3,C-11272-55599,2011-10-06,2011-09-29,CERTIFIED,H-2B,PA,2011-12-01,2012-07-15,ALFRESCO HOME,1000 ARMAND HAMMER BLVD,,POTTSTOWN,PA,19464,APRIL MCKINNEY,BAY CITY,TX,222.387-058,Stock Clerk,435081.0,Stock Clerks and Order Fillers,STOCK CLERK,4.0,4,8.3,HR,8.3,HR
4,C-11258-55547,2011-10-12,2011-09-15,CERTIFIED,H-2B,FL,2011-11-01,2012-07-31,"THE RITZ-CARLTON HOTEL COMPANY, LLC",DIRECTOR OF HUMAN RESOURCES,280 VANDERBILT BEACH ROAD,NAPLES,FL,34108,DANIEL ADRIAN WILLIAMSON,WASHINGTON,DC,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",24.0,24,11.75,HR,11.75,HR
5,C-11259-55549,2011-10-12,2011-09-16,PARTIAL CERTIFIED,H-2B,TX,2011-11-01,2012-03-01,"WOOD ENT CO., INC.",111 OSIANA DRIVE,,SAN ANTONIO,TX,78248,ROBERT WAYNE PIERCE,ANNAPOLIS,MD,620.664-014,Maintenance Mechanic Helper,499098.0,"Helpers--Installation, Maintenance, and Repair Workers",MAINTENANCE MECHANIC HELPER,20.0,19,8.13,HR,8.13,HR
6,C-11259-55550,2011-10-12,2011-09-16,CERTIFIED,H-2B,FL,2011-10-01,2012-04-30,"B.A. GROUP, INC. DBA SOO-WOO JAPANESE STEAKHOUSE",9753 NW 41 ST,,DORAL,FL,33178,EMILIO FERNANDO MARTINEZ,MIAMI,FL,313.361-014,Cook,352014.0,"Cooks, Restaurant",COOK,3.0,3,13.61,HR,13.61,HR
7,C-11262-55553,2011-10-12,2011-09-19,CERTIFIED,H-2B,UT,2011-11-01,2012-04-30,SNOWBIRD CORPORATION,STATE HWY 210,P.O. BOX 929000,SANDY,UT,84092,"BARBARA V. MELENDEZ, KIRTON & MCCONKIE",SALT LAKE CITY,UT,153.227-018,"Instructor, Sports",399031.0,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",13.0,13,10.0,HR,10.0,HR
8,C-11262-55555,2011-10-12,2011-09-19,PARTIAL CERTIFIED,H-2B,UT,2011-11-01,2012-05-15,SNOWBIRD CORPORATION,"3165 EAST MILLROCK DRIVE, SUITE 190",,SANDY,UT,84121,BARBARA V. MELENDEZ,SALT LAKE CITY,UT,311.677-018,Dining Room Attendant,359011.0,Dining Room and Cafeteria Attendants and Bartender Helpers,DINING ROOM ATTENDANT,11.0,10,7.4,HR,7.4,HR
9,C-11262-55556,2011-10-12,2011-09-19,CERTIFIED,H-2B,UT,2011-11-01,2012-05-15,SNOWBIRD CORPORATION,PO BOX 929000,STATE HWY 210,SANDY,UT,84092,"BARBARA V. MELENDEZ, KIRTON & MCCONKIE",SALT LAKE CITY,UT,319.484-010,"Food Assembler, Kitchen",352021.0,Food Preparation Workers,"FOOD ASSEMBLER, KITCHEN",15.0,15,7.4,HR,7.4,HR
10,C-11262-55557,2011-10-12,2011-09-19,PARTIAL CERTIFIED,H-2B,UT,2011-11-01,2012-05-15,SNOWBIRD CORPORATION,STATE HWY 210,P.O. BOX 929000,SANDY,UT,84092,BARBARA V. MELENDEZ / KIRTON & MCCONKIE,SALT LAKE CITY,UT,341.665-010,Ski-Tow Operator,393091.0,Amusement and Recreation Attendants,SKI TOW OPERATOR,13.0,12,7.69,HR,7.69,HR
11,C-11263-55560,2011-10-12,2011-09-20,CERTIFIED,H-2B,CO,2011-12-01,2012-04-01,"GL, INC.",18126 EAST PEAKVIEW PLACE,,AURORA,CO,80016,VERITY CLAIR EISENMAN,EAGLE,CO,955.687-014,Snow Shoveler,519198.0,Helpers--Production Workers,SNOW SHOVELER,10.0,10,9.19,HR,9.19,HR
12,C-11263-55566,2011-10-12,2011-09-20,CERTIFIED,H-2B,LA,2011-11-01,2012-05-30,"CRAWFISH HOLE, INC.",143 CELINA DRIVE,,NATCHITOCHES,LA,71457,"LINDA D. WHITE / LINDA WHITE & ASSOCIATES, INC.",LIVINGSTON,LA,313.374-014,"Cook, Short Order",352015.0,"Cooks, Short Order","COOK, SHORT ORDER",6.0,6,7.35,HR,8.93,HR
13,C-11263-55568,2011-10-12,2011-09-20,PARTIAL CERTIFIED,H-2B,LA,2011-10-01,2012-06-01,SANTOS RODRIGUEZ,103 NICOLE ST.,,HOUMA,LA,70364,MALVERN C. BURNETT,NEW ORLEANS,LA,449.667-010,"Deckhand, Fishing Vessel",453011.0,Fishers and Related Fishing Workers,"DECKHAND, FISHING VESSEL",15.0,14,8.38,HR,8.38,HR
14,C-11264-55572,2011-10-12,2011-09-21,CERTIFIED,H-2B,FL,2011-10-15,2012-05-31,THE COUNTRY CLUB AT MIRASOL,11600 MIRASOL WAY,,PALM BEACH GARDENS,FL,33418,MATTHEW S. DUNN,NEW YORK,NY,350.677-030,Waiter/Waitress,353031.0,Waiters and Waitresses,WAITER/WAITRESS,21.0,21,10.0,HR,10.0,HR
15,C-11264-55573,2011-10-12,2011-09-21,CERTIFIED,H-2B,FL,2011-10-15,2012-05-31,"THE COUNTRY CLUB AT MIRASOL DBA MIRASOL CLUB, INC.",11600 MIRASOL WAY,,PALM BEACH GARDENS,FL,33418,MATTHEW S. DUNN,NEW YORK,NY,313.361-014,Cook,352014.0,"Cooks, Restaurant",COOK,6.0,6,12.0,HR,12.0,HR
16,C-11265-55584,2011-10-12,2011-09-22,CERTIFIED,H-2B,CO,2011-11-21,2012-04-15,"TSG SKI AND GOLF, LLC DBA TELLURIDE SKI AND GOLF",565 MOUNTIAN VILLAGE BLVD.,,TELLURIDE,CO,81435,,,,099.224-010,"Instructor, Physical Education",399031.0,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, PHYSICAL EDUCATION",11.0,11,17.79,HR,17.79,HR
17,C-11266-55587,2011-10-12,2011-09-23,CERTIFIED,H-2B,WY,2011-10-01,2012-05-31,CLOUD PEAK HOSPITALITY DBA HOLIDAY INN SHERIDAN,1809 SUGARLAND DR.,,SHERIDAN,WY,82801,ALAN HOWARD PLUMMER,THAYNE,WY,382.664-010,Janitor,372011.0,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",JANITOR,4.0,4,9.0,HR,9.0,HR
18,C-11266-55588,2011-10-12,2011-09-23,CERTIFIED,H-2B,WY,2011-10-01,2012-05-31,CLOUD PEAK HOSPITALITY DBA HOLIDAY INN SHERIDAN,1809 SUGARLAND DR,,SHERIDAN,WY,82801,ALAN HOWARD PLUMMER,THAYNE,WY,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",15.0,15,8.5,HR,8.5,HR
19,C-11266-55589,2011-10-12,2011-09-23,CERTIFIED,H-2B,WY,2011-10-01,2012-05-31,TOWER WEST HOLDINGS DBA BEST WESTERN,109 N. US HWY. 14-16,,GILLETTE,WY,82718,ALAN HOWARD PLUMMER,THAYNE,WY,311.677-018,Dining Room Attendant,359011.0,Dining Room and Cafeteria Attendants and Bartender Helpers,DINING ROOM ATTENDANT,10.0,10,7.5,HR,7.5,HR
20,C-11266-55590,2011-10-12,2011-09-23,CERTIFIED,H-2B,WY,2011-10-01,2012-05-31,TOWER WEST HOLDINGS DBA BEST WESTERN,109 N. US HWY. 14-16,,GILLETTE,WY,82718,ALAN HOWARD PLUMMER,THAYNE,WY,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",30.0,30,8.5,HR,8.5,HR
21,C-11272-55603,2011-10-12,2011-09-29,CERTIFIED,H-2B,LA,2011-10-03,2012-03-31,"ARNOLDO VALENCIA, JR., FARM LABOR CONTRACTOR DBA V",2500 MONKEY LANE,P.O. BOX 3,SILSBEE,TX,77656,"DANIEL W. BREMER / AGWORKS, INC.",LAKE PARK,GA,452.687-010,Forest Worker,454011.0,Forest and Conservation Workers,FOREST WORKER,42.0,42,9.9,HR,9.9,HR
22,C-11277-55606,2011-10-12,2011-10-04,CERTIFIED,H-2B,ME,2011-10-24,2011-12-10,TIMBERLAND FORESTRY SERVICE DBA MITCHELL PRESSON,8001 HARPER ROAD,,HIXSON,TN,37343,,,,452.687-010,Forest Worker,454011.0,Forest and Conservation Workers,FOREST WORKER,56.0,56,9.57,HR,9.57,HR
23,C-11278-55610,2011-10-12,2011-10-05,CERTIFIED,H-2B,AZ,2011-10-12,2012-05-20,JONRAY RANCH LLC,444 W DENHAM ROAD,,DOUGLAS,AZ,85607,HENRIKA LONYA HENRICHS,PHOENIX,AZ,410.674-010,Animal Caretaker,392021.0,Nonfarm Animal Caretakers,ANIMAL CARETAKER,4.0,4,8.34,HR,8.34,HR
24,C-11286-55623,2011-10-13,2011-09-28,CERTIFIED,H-2B,AZ,2011-10-12,2012-05-20,MIKE CHAMBERS RACING STABLES INC.,705 EAST TOPONCE CANYON ROAD,,BANCROFT,ID,83217,HENRIKA LONYA HINRICHS,PHOENIX,AZ,410.674-010,Animal Caretaker,392021.0,Nonfarm Animal Caretakers,ANIMAL CARETAKER,20.0,20,8.34,HR,8.34,HR
25,C-11241-55493,2011-10-14,2011-08-29,DENIED,H-2B,DE,2011-07-01,2011-12-01,"BROOKS AND PALMER CUSTOM HOMES, LLC",24214 ZOAR ROAD,,GEORGETOWN,DE,19947,AZIZ SAFAR,NEW CITY,NY,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",1.0,0,13.84,HR,13.84,HR
26,C-11252-55534,2011-10-14,2011-09-09,DENIED,H-2B,TN,2011-10-15,2012-08-15,NUEVO VALLARTA MEXICAN RESTURANT,10240 HWY 57,,COUNCE,TN,38326,,,,305.281-010,Cook,352013.0,"Cooks, Private Household",COOK,2.0,0,8.75,HR,8.75,HR
27,C-11255-55536,2011-10-14,2011-09-12,DENIED,H-2B,SC,2011-11-12,2012-03-31,"MARSHFIELD FOREST SERVICE, INC.",31 MAYS WAY,,EDGEFIELD,SC,29824,GINNY MUILENBURG,COEUR D'ALENE,ID,452.687-010,Forest Worker,454011.0,Forest and Conservation Workers,FOREST WORKER,41.0,0,9.98,HR,9.98,HR
28,C-11258-55548,2011-10-14,2011-09-15,DENIED,H-2B,VT,2011-11-20,2012-04-30,C.L. HOSPITALITY CORP. DBA THE CASCADES LODGE,58 OLD MILL ROAD,,KILLINGTON,VT,5751,MICHAEL DAVID HEFNER,PITTSFIELD,VT,305.281-010,Cook,352013.0,"Cooks, Private Household",COOK,2.0,0,9.17,HR,9.17,HR
29,C-11263-55562,2011-10-14,2011-09-20,DENIED,H-2B,CO,2011-11-19,2012-04-15,"TEAM TEMP STAFFING, INC.","330 FIEDLER AVE., SUITE 103",,DILLON,CO,80435,,,,321.137-010,Housekeeper,371011.0,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,HOUSEKEEPER,10.0,0,8.82,HR,8.82,HR
30,C-11263-55564,2011-10-14,2011-09-20,DENIED,H-2B,CO,2011-11-19,2012-04-15,"TEAM TEMP STAFFING, INC.","330 FIEDLER AVE., SUITE 103",P.O. BOX 1927,DILLON,CO,80435,,,,382.664-010,Janitor,372011.0,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",JANITOR,5.0,0,9.3,HR,9.3,HR
31,C-11252-55530,2011-10-17,2011-09-09,CERTIFIED,H-2B,NY,2011-09-01,2012-07-01,"NEW YORK PREMIER SOCCER, LLC",14 FRANKLIN ST.,,AKRON,NY,14001,GREGORY J. VARTANIAN,BOSTON,MA,153.117-010,Head Coach,272022.0,Coaches and Scouts,HEAD COACH,30.0,30,14.2,HR,14.2,HR
32,C-11238-55478,2011-10-18,2011-08-26,DENIED,H-2B,TX,2011-09-10,2012-06-09,"CD TRANSPORT, LLC",820 N. ROSAMOND,,ODESSA,TX,79763,H. RICHARD SINDELAR III,HOUSTON,TX,904.383-010,Tractor-Trailer-Truck Driver,533032.0,"Truck Drivers, Heavy and Tractor-Trailer",TRACTOR TRAILER TRUCK DRIVER,8.0,0,17.97,HR,17.97,HR
33,C-11238-55480,2011-10-18,2011-08-26,DENIED,H-2B,TX,2011-09-10,2012-06-09,"CD TRANSPORT, LLC",820 N. ROSAMOND,,ODESSA,TX,79763,H. RICHARD SINDELAR III,HOUSTON,TX,620.281-050,"Mechanic, Industrial Truck",493031.0,Bus and Truck Mechanics and Diesel Engine Specialists,"MECHANIC, INDUSTRIAL TRUCK",2.0,0,14.02,HR,14.02,HR
34,C-11264-55575,2011-10-18,2011-09-21,DENIED,H-2B,CA,2011-11-07,2012-04-30,"MAMMOTH MOUNTAIN SKI AREA, LLC",1 MINARET ROAD,P.O. BOX 24,MAMMOTH LAKES,CA,93546,,,,153.227-018,"Instructor, Sports",399031.0,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",3.0,0,,,,
35,C-11264-55576,2011-10-18,2011-09-21,DENIED,H-2B,CA,2011-12-11,2012-04-30,"MAMMOTH MOUNTAIN SKI AREA, LLC",P.O. BOX 24/MINARET 1 ROAD,,MAMMOTH LAKES,CA,93546,,,,349.664-010,Amusement Park Worker,393091.0,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,14.0,0,9.76,HR,9.76,HR
