,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
0,A-07257-27842,2007-10-01 08:12:02,2007-09-13 00:00:00,CERTIFIED,FL,2007-11-01 00:00:00,2008-04-30 00:00:00,HERRINGSWELL STABLES,PO BOX 202,,LEWISVILLE,PA,19351,"INTERNATIONAL PERSONNEL RESOURCES, INC.",P.O. BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,15.0,8.73,HR,8.73,HR
1,A-07261-27932,2007-10-01 08:25:42,2007-09-18 00:00:00,CERTIFIED,PA,2007-12-01 00:00:00,2008-09-01 00:00:00,BARGEE FARMS,472 CEDAR RUN RD.,,ALLISON,PA,15101,,,,,"FARMWORKER, LIVESTOCK",3.0,7.72,HR,7.72,HR
2,C-07271-28125,2007-10-01 09:56:15,2007-09-28 00:00:00,PARTIAL CERTIFIED,MN,2007-12-01 00:00:00,2008-03-30 00:00:00,GREEN HORIZONS INC.,"6980 OXFORD ST., #228",,ST. LOUIS,MN,55416,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,PRODUCTION HELPER,50.0,9.01,HR,9.01,HR
3,C-07271-28129,2007-10-01 10:30:37,2007-09-28 00:00:00,PARTIAL CERTIFIED,TX,2007-12-16 00:00:00,2008-11-10 00:00:00,"RAY CAMMACK SHOWS, INC UNIT #1",1609 EAST JACKSON STREET,,HUGO,OK,74743,JAMES K JUDKINS,1609 EAST JACKSON,HUGO,OK,AMUSEMENT PARK WORKER,300.0,6.11,HR,7.74,HR
4,C-07268-28081,2007-10-01 10:37:15,2007-09-25 00:00:00,CERTIFIED,CA,2007-10-22 00:00:00,2008-06-30 00:00:00,JOSE'S CONCESSIONS,11279 TUSCOLANA STREET,,LAS VEGAS,NV,89141,"JKJ WORKFORCE,/TESS HARRISON",32755 FM 106,RIO HONDO,TX,AMUSEMENT PARK WORKER,50.0,7.58,HR,7.58,HR
5,C-07268-28083,2007-10-01 10:48:18,2007-09-25 00:00:00,CERTIFIED,CO,2007-12-15 00:00:00,2008-04-13 00:00:00,"CRESTED BUTTE, LLC",12 SNOWMASS ROAD,P.O. BOX 5700,MT.CRESTED BUTTE,CO,81225,,,,,"SALESPERSON, SPORTING GOODS",5.0,7.73,HR,8.16,HR
6,C-07268-28078,2007-10-01 10:57:06,2007-09-24 00:00:00,CERTIFIED,TX,2007-10-15 00:00:00,2008-04-30 00:00:00,BURNELL MARINE AND SUPPLY INC,2230 FISHERMAN'S PLACE RD,,BROWNSVILLE,TX,78521,ANTONIO VILLEDA,5414 N. 10TH ST,MCALLEN,TX,"DECKHAND, FISHING VESSEL",11.0,8.43,HR,8.43,HR
7,C-07260-27867,2007-10-01 10:57:27,2007-09-14 00:00:00,CERTIFIED,HI,2007-10-15 00:00:00,2008-09-19 00:00:00,"PC 800, INC",2222 KALAKAUA AVENUE #1418,,HONOLULU,HI,96815,LINDA DECKER,DECKER LAW GROUP,SAN DIEGO,CA,"MANAGER, EDUCATION AND TRAINING",1.0,30.16,HR,30.16,HR
8,C-07261-27916,2007-10-01 11:01:43,2007-09-18 00:00:00,CERTIFIED,CO,2007-12-01 00:00:00,2008-04-30 00:00:00,"LAWNTECH ENTERPRISES, INC.",5253 E. 38TH AVE.,,DENVER,CO,80207,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,SNOW SHOVELER,30.0,7.72,HR,7.72,HR
9,C-07268-28076,2007-10-01 11:05:30,2007-09-24 00:00:00,CERTIFIED,CA,2007-10-15 00:00:00,2008-08-15 00:00:00,"TAWA SUPERMARKET, INC",6363 REGIO AVENUE,,BUENA PARK,CA,90620,"FRIDA P. GLUCOFT,ESQ",MITCHELL SILBERBERG & KNUPP LLP,LOS ANGELES,CA,CHEF,3.0,15.28,HR,17.5,HR
