,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,979,468,511,-
6,,,,,
7,New arrivals,359,160,199,-
8,Adjustments of status,620,308,312,-
9,,,,,
10,Age,,,,
11,Under 18 years,237,114,123,-
12,18 to 24 years,146,81,65,-
13,25 to 34 years,237,98,139,-
14,35 to 44 years,194,87,107,-
15,45 to 54 years,114,57,57,-
16,55 to 64 years,35,22,13,-
17,65 years and over,16,9,7,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,549,272,277,-
22,Single,402,177,225,-
23,Other,25,18,7,-
24,Unknown,3,1,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",57,15,42,-
28,Service occupations,31,D,D,-
29,Sales and office occupations,20,12,8,-
30,"Farming, fishing, and forestry occupations",15,D,D,-
31,"Construction, extraction, maintenance and repair occupations",18,-,18,-
32,"Production, transportation, and material moving occupations",80,18,62,-
33,Military,-,-,-,-
34,No occupation/not working outside home,448,269,179,-
35,Homemakers,124,115,9,-
36,Students or children,283,132,151,-
37,Retirees,D,D,-,-
38,Unemployed,D,D,19,-
39,Unknown,310,141,169,-
40,,,,,
41,Broad class of admission,,,,
42,Immediate relatives of U.S. citizens,412,212,200,-
43,Family-sponsored preferences,138,80,58,-
44,Employment-based preferences,35,17,18,-
45,Diversity,50,12,38,-
46,Refugees and asylees,338,144,194,-
47,Other,6,3,3,-
48,,,,,
49,Leading countries of birth,,,,
50,Benin,29,6,23,-
51,Burma,132,44,88,-
52,Canada,8,D,D,-
53,"China, People's Republic",12,7,5,-
54,Cuba,16,5,11,-
55,El Salvador,12,4,8,-
56,Eritrea,17,10,7,-
57,Ethiopia,27,16,11,-
58,Guatemala,21,10,11,-
59,Honduras,10,5,5,-
60,India,11,6,5,-
61,Kenya,47,25,22,-
62,Malaysia,44,20,24,-
63,Mexico,390,200,190,-
64,Nepal,9,3,6,-
65,Philippines,12,D,D,-
66,Somalia,35,15,20,-
67,Syria,8,D,D,-
68,Thailand,40,19,21,-
69,United Kingdom,7,D,D,-
70,Other,91,53,38,-
71,Unknown,1,1,-,-
72,D Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security.,,,,
