,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,735,359,376,-
6,,,,,
7,New arrivals,201,91,110,-
8,Adjustments of status,534,268,266,-
9,,,,,
10,Age,,,,
11,Under 18 years,178,94,84,-
12,18 to 24 years,132,66,66,-
13,25 to 34 years,166,83,83,-
14,35 to 44 years,109,58,51,-
15,45 to 54 years,77,25,52,-
16,55 to 64 years,44,21,23,-
17,65 years and over,29,12,17,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,293,166,127,-
22,Married,392,183,209,-
23,Other,39,8,31,-
24,Unknown,11,2,9,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",37,24,13,-
28,Service occupations,16,D,D,-
29,Sales and office occupations,D,D,D,-
30,"Farming, fishing, and forestry occupations",15,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",49,42,7,-
33,Military,-,-,-,-
34,No occupation/not working outside home,361,124,237,-
35,Homemakers,120,D,D,-
36,Students or children,188,97,91,-
37,Retirees,3,D,D,-
38,Unemployed,50,D,D,-
39,Unknown,249,136,113,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,89,36,53,-
43,Employment-based preferences,40,D,D,-
44,Immediate relatives of U.S. citizens,292,120,172,-
45,Diversity,3,D,D,-
46,Refugees and asylees,284,162,122,-
47,Other,27,17,10,-
48,,,,,
49,Leading countries of birth,,,,
50,Burma,98,57,41,-
51,Cambodia,4,D,D,-
52,Canada,9,6,3,-
53,China,19,5,14,-
54,Colombia,8,4,4,-
55,Cuba,7,D,D,-
56,El Salvador,8,3,5,-
57,Eritrea,6,D,D,-
58,Ethiopia,17,7,10,-
59,Guatemala,25,10,15,-
60,India,4,D,D,-
61,Iran,6,3,3,-
62,Kenya,26,12,14,-
63,Malaysia,4,D,D,-
64,Mexico,269,119,150,-
65,Philippines,11,3,8,-
66,Somalia,56,32,24,-
67,Thailand,62,38,24,-
68,United Kingdom,13,8,5,-
69,Vietnam,12,4,8,-
70,Other,71,35,36,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
