,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2010,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,685,320,365,-
6,,,,,
7,New arrivals,258,114,144,-
8,Adjustments of status,427,206,221,-
9,,,,,
10,Age,,,,
11,Under 18 years,134,72,62,-
12,18 to 24 years,112,51,61,-
13,25 to 34 years,161,83,78,-
14,35 to 44 years,113,48,65,-
15,45 to 54 years,68,29,39,-
16,55 to 64 years,55,21,34,-
17,65 years and over,42,16,26,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,225,126,99,-
22,Married,406,181,225,-
23,Other,43,8,35,-
24,Unknown,11,5,6,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",27,18,9,-
28,Service occupations,10,6,4,-
29,Sales and office occupations,10,3,7,-
30,"Farming, fishing, and forestry occupations",15,D,D,-
31,"Construction, extraction, maintenance and repair occupations",7,D,D,-
32,"Production, transportation, and material moving occupations",74,55,19,-
33,Military,-,-,-,-
34,No occupation/not working outside home,315,103,212,-
35,Homemakers,133,D,D,-
36,Students or children,145,77,68,-
37,Retirees,D,D,D,-
38,Unemployed,D,15,D,-
39,Unknown,227,116,111,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,81,34,47,-
43,Employment-based preferences,D,17,D,-
44,Immediate relatives of U.S. citizens,368,152,216,-
45,Diversity,D,-,D,-
46,Refugees and asylees,188,106,82,-
47,Other,17,11,6,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,3,D,D,-
51,Burma,57,30,27,-
52,Canada,6,3,3,-
53,China,45,18,27,-
54,Cuba,7,D,D,-
55,El Salvador,6,3,3,-
56,Ethiopia,7,D,D,-
57,Germany,4,D,D,-
58,Guatemala,6,D,D,-
59,India,10,6,4,-
60,Iran,4,D,D,-
61,Kenya,16,8,8,-
62,"Korea, South",5,D,D,-
63,Mexico,316,134,182,-
64,Peru,9,D,D,-
65,Philippines,9,3,6,-
66,Somalia,58,31,27,-
67,Thailand,31,16,15,-
68,United Kingdom,8,3,5,-
69,Vietnam,12,4,8,-
70,Other,66,34,32,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
