,Persons Becoming Legal Permanent Residents During Fiscal Year 2003,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,417,198,219,-
6,,,,,
7,Age,,,,
8,Under 18 years,68,32,36,-
9,18-24 years,66,43,23,-
10,25-34 years,157,81,76,-
11,35-44 years,58,21,37,-
12,45-54 years,23,10,13,-
13,55-64 years,24,5,19,-
14,65 years and over,21,6,15,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,94,D,D,-
19,Married,310,151,159,-
20,Other,13,D,D,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,D,D,D,-
25,Professional and technical,12,8,4,-
26,Sales,-,-,-,-
27,Administrative support,-,-,-,-
28,"Farming, forestry, fisheries",D,D,-,-
29,"Operators, fabricators, laborers",D,D,-,-
30,"Precision production, craft, repair",4,D,D,-
31,Service,3,D,D,-
32,Military,-,-,-,-
33,No occupation,119,46,73,-
34,Unknown,274,136,138,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,59,22,37,-
38,Employment-based preferences,20,12,8,-
39,Immediate relatives of U.S. citizens,324,156,168,-
40,Diversity programs,D,D,3,-
41,Refugee and asylee adjustments,D,D,-,-
42,Other,7,4,3,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Australia,3,D,D,-
46,Brazil,6,3,3,-
47,Canada,6,3,3,-
48,China,11,3,8,-
49,Colombia,5,D,D,-
50,El Salvador,8,4,4,-
51,Guatemala,7,D,D,-
52,India,12,6,6,-
53,Korea,7,D,D,-
54,Mexico,280,139,141,-
55,Nepal,3,D,D,-
56,Nigeria,4,D,D,-
57,Pakistan,5,D,D,-
58,Peru,4,-,4,-
59,Romania,3,-,3,-
60,Russia,3,D,D,-
61,South Africa,3,D,D,-
62,Ukraine,4,-,4,-
63,United Kingdom,3,D,D,-
64,Vietnam,3,D,D,-
65,Other,36,14,22,-
66,Unknown,1,-,1,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
