,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Glenwood Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,246,137,109,-
6,,,,,
7,New arrivals,85,39,46,-
8,Adjustments of status,161,98,63,-
9,,,,,
10,Age,,,,
11,Under 18 years,38,17,21,-
12,18 to 24 years,25,13,12,-
13,25 to 34 years,72,39,33,-
14,35 to 44 years,54,31,23,-
15,45 to 54 years,36,23,13,-
16,55 to 64 years,14,D,D,-
17,65 years and over,7,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,162,91,71,-
22,Single,61,28,33,-
23,Other,21,16,5,-
24,Unknown,2,2,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",23,6,17,-
28,Service occupations,7,4,3,-
29,Sales and office occupations,D,D,-,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",21,-,21,-
32,"Production, transportation, and material moving occupations",D,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,75,53,22,-
35,Homemakers,35,D,D,-
36,Students or children,36,17,19,-
37,Retirees,-,-,-,-
38,Unemployed,4,D,D,-
39,Unknown,113,70,43,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,35,21,14,-
43,Employment-based preferences,15,D,D,-
44,Immediate relatives of U.S. citizens,138,74,64,-
45,Diversity,4,D,D,-
46,Refugees and asylees,4,D,D,-
47,Other,50,33,17,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,7,4,3,-
51,Australia,3,-,3,-
52,Austria,D,D,-,-
53,Belarus,D,D,-,-
54,Belgium,D,D,-,-
55,Brazil,5,5,-,-
56,Chile,3,D,D,-
57,China,4,D,D,-
58,Colombia,8,5,3,-
59,El Salvador,12,8,4,-
60,Germany,D,D,-,-
61,Guatemala,9,5,4,-
62,Mexico,152,80,72,-
63,New Zealand,D,-,D,-
64,Panama,D,D,D,-
65,Peru,5,5,-,-
66,Philippines,D,D,-,-
67,Serbia,3,D,D,-
68,Uganda,D,D,D,-
69,United Kingdom,5,D,D,-
70,Other,17,11,6,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
