,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2009,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,125,42,83,-
6,,,,,
7,New arrivals,55,16,39,-
8,Adjustments of status,70,26,44,-
9,,,,,
10,Age,,,,
11,Under 18 years,31,14,17,-
12,18 to 24 years,13,4,9,-
13,25 to 34 years,32,13,19,-
14,35 to 44 years,28,7,21,-
15,45 to 54 years,12,D,D,-
16,55 to 64 years,D,D,D,-
17,65 years and over,D,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,45,D,D,-
22,Married,76,23,53,-
23,Other,3,D,D,-
24,Unknown,1,-,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",7,D,D,-
28,Service occupations,7,3,4,-
29,Sales and office occupations,4,D,D,-
30,"Farming, fishing, and forestry occupations",5,D,D,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",3,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,68,17,51,-
35,Homemakers,23,-,23,-
36,Students or children,31,14,17,-
37,Retirees,D,-,D,-
38,Unemployed,D,3,D,-
39,Unknown,31,11,20,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,32,8,24,-
43,Employment-based preferences,D,D,D,-
44,Immediate relatives of U.S. citizens,76,25,51,-
45,Diversity,D,-,D,-
46,Refugees and asylees,7,D,D,-
47,Other,2,-,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Belarus,D,-,D,-
51,Cambodia,D,-,D,-
52,Canada,7,D,D,-
53,Chile,D,D,D,-
54,China,10,4,6,-
55,Colombia,D,D,-,-
56,"Congo, Republic of the",D,D,-,-
57,Costa Rica,D,D,-,-
58,El Salvador,D,-,D,-
59,Ethiopia,D,-,D,-
60,Germany,4,D,D,-
61,Japan,D,-,D,-
62,"Korea, South",3,D,D,-
63,Mexico,47,17,30,-
64,Nepal,4,D,D,-
65,New Zealand,D,-,D,-
66,Philippines,13,D,D,-
67,Russia,3,D,D,-
68,Soviet Union (former),3,-,3,-
69,Venezuela,3,D,D,-
70,Other,13,3,10,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
