,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2008,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,127,62,65,-
6,,,,,
7,New arrivals,64,32,32,-
8,Adjustments of status,63,30,33,-
9,,,,,
10,Age,,,,
11,Under 18 years,27,13,14,-
12,18 to 24 years,17,11,6,-
13,25 to 34 years,35,16,19,-
14,35 to 44 years,24,11,13,-
15,45 to 54 years,9,3,6,-
16,55 to 64 years,9,D,D,-
17,65 years and over,6,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,D,23,D,-
22,Married,83,38,45,-
23,Other,D,-,D,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",14,7,7,-
28,Service occupations,6,D,D,-
29,Sales and office occupations,6,3,3,-
30,"Farming, fishing, and forestry occupations",D,3,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",4,4,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,56,25,31,-
35,Homemakers,D,D,10,-
36,Students or children,31,17,14,-
37,Retirees,D,-,D,-
38,Unemployed,12,D,D,-
39,Unknown,36,16,20,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,19,9,10,-
43,Employment-based preferences,13,5,8,-
44,Immediate relatives of U.S. citizens,78,36,42,-
45,Diversity,9,D,D,-
46,Refugees and asylees,7,D,D,-
47,Other,1,1,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Cambodia,D,D,-,-
51,Canada,6,D,D,-
52,China,13,3,10,-
53,Costa Rica,D,D,-,-
54,Ethiopia,3,3,-,-
55,Germany,D,D,D,-
56,Ghana,3,D,D,-
57,Guatemala,D,-,D,-
58,Hong Kong,D,-,D,-
59,Jordan,D,D,-,-
60,Mexico,46,26,20,-
61,Morocco,D,D,-,-
62,Nepal,7,3,4,-
63,Peru,6,D,D,-
64,Philippines,6,D,D,-
65,Soviet Union (former),D,-,D,-
66,Uganda,D,D,D,-
67,Ukraine,D,D,D,-
68,Venezuela,3,3,-,-
69,Vietnam,3,D,D,-
70,Other,13,5,8,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
