,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,108,48,60,-
6,,,,,
7,New arrivals,46,21,25,-
8,Adjustments of status,62,27,35,-
9,,,,,
10,Age,,,,
11,Under 18 years,18,9,9,-
12,18 to 24 years,19,11,8,-
13,25 to 34 years,33,14,19,-
14,35 to 44 years,20,9,11,-
15,45 to 54 years,8,D,D,-
16,55 to 64 years,6,D,D,-
17,65 years and over,4,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,D,18,D,-
22,Married,76,29,47,-
23,Other,D,-,D,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",9,D,D,-
28,Service occupations,D,D,-,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",3,3,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",6,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,48,14,34,-
35,Homemakers,20,-,20,-
36,Students or children,23,14,9,-
37,Retirees,-,-,-,-
38,Unemployed,5,-,5,-
39,Unknown,38,17,21,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,D,D,D,-
43,Employment-based preferences,7,D,D,-
44,Immediate relatives of U.S. citizens,88,37,51,-
45,Diversity,-,-,-,-
46,Refugees and asylees,D,D,-,-
47,Other,6,3,3,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,D,D,-,-
51,Brazil,D,-,D,-
52,Cambodia,D,-,D,-
53,Canada,10,6,4,-
54,Chile,D,-,D,-
55,China,8,5,3,-
56,Colombia,D,D,D,-
57,"Congo, Democratic Republic of the",D,-,D,-
58,Costa Rica,3,D,D,-
59,El Salvador,3,D,D,-
60,Ethiopia,D,D,-,-
61,Germany,D,-,D,-
62,India,D,D,-,-
63,Indonesia,D,-,D,-
64,Israel,D,-,D,-
65,Jamaica,D,-,D,-
66,Mexico,47,22,25,-
67,Peru,D,D,D,-
68,Philippines,6,D,D,-
69,Venezuela,3,-,3,-
70,Other,12,6,6,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
