,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2010,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Silverthorne, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,74,33,41,-
6,,,,,
7,New arrivals,23,12,11,-
8,Adjustments of status,51,21,30,-
9,,,,,
10,Age,,,,
11,Under 18 years,17,9,8,-
12,18 to 24 years,12,3,9,-
13,25 to 34 years,26,11,15,-
14,35 to 44 years,12,7,5,-
15,45 to 54 years,4,D,D,-
16,55 to 64 years,D,D,-,-
17,65 years and over,D,-,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,25,13,12,-
22,Married,48,19,29,-
23,Other,-,-,-,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",3,D,D,-
28,Service occupations,7,D,D,-
29,Sales and office occupations,-,-,-,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",D,-,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,30,10,20,-
35,Homemakers,7,-,7,-
36,Students or children,17,D,D,-
37,Retirees,-,-,-,-
38,Unemployed,6,D,D,-
39,Unknown,31,15,16,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,12,5,7,-
43,Employment-based preferences,5,D,D,-
44,Immediate relatives of U.S. citizens,46,18,28,-
45,Diversity,5,D,D,-
46,Refugees and asylees,5,D,D,-
47,Other,1,1,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,3,D,D,-
51,Canada,D,D,-,-
52,Chile,D,-,D,-
53,Colombia,3,D,D,-
54,"Congo, Democratic Republic of the",D,D,-,-
55,Costa Rica,D,D,-,-
56,Czechoslovakia (former),D,-,D,-
57,El Salvador,D,D,-,-
58,Ethiopia,D,-,D,-
59,Guatemala,3,D,D,-
60,Mauritania,4,4,-,-
61,Mexico,14,5,9,-
62,Peru,6,-,6,-
63,Philippines,D,-,D,-
64,Poland,4,D,D,-
65,Slovakia,D,-,D,-
66,South Africa,5,D,D,-
67,Soviet Union (former),3,-,3,-
68,United Kingdom,3,3,-,-
69,Uzbekistan,6,3,3,-
70,Other,7,3,4,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
