,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Silverthorne, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,80,34,46,-
6,,,,,
7,New arrivals,28,11,17,-
8,Adjustments of status,52,23,29,-
9,,,,,
10,Age,,,,
11,Under 18 years,11,4,7,-
12,18 to 24 years,14,7,7,-
13,25 to 34 years,18,8,10,-
14,35 to 44 years,18,7,11,-
15,45 to 54 years,12,4,8,-
16,55 to 64 years,3,D,D,-
17,65 years and over,4,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,23,11,12,-
22,Married,53,23,30,-
23,Other,4,-,4,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",6,D,D,-
28,Service occupations,6,D,D,-
29,Sales and office occupations,5,D,D,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",7,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,30,9,21,-
35,Homemakers,8,-,8,-
36,Students or children,14,6,8,-
37,Retirees,D,-,D,-
38,Unemployed,D,3,D,-
39,Unknown,26,10,16,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,6,D,D,-
43,Employment-based preferences,-,-,-,-
44,Immediate relatives of U.S. citizens,56,17,39,-
45,Diversity,6,3,3,-
46,Refugees and asylees,12,D,D,-
47,Other,-,-,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,3,D,D,-
51,Armenia,D,-,D,-
52,Australia,D,-,D,-
53,Bulgaria,D,-,D,-
54,Canada,D,-,D,-
55,China,D,D,D,-
56,Colombia,5,D,D,-
57,Costa Rica,D,D,D,-
58,France,D,-,D,-
59,Guatemala,D,-,D,-
60,Jamaica,D,D,D,-
61,Mauritania,6,6,-,-
62,Mexico,14,6,8,-
63,Peru,D,-,D,-
64,Poland,3,D,D,-
65,Senegal,D,D,D,-
66,Soviet Union (former),4,D,D,-
67,Ukraine,3,-,3,-
68,United Kingdom,D,D,D,-
69,Uzbekistan,6,3,3,-
70,Other,16,9,7,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
