,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Silverthorne, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,69,24,44,1
6,,,,,
7,New arrivals,30,9,20,1
8,Adjustments of status,39,15,24,-
9,,,,,
10,Age,,,,
11,Under 18 years,10,D,D,-
12,18 to 24 years,14,6,8,-
13,25 to 34 years,19,4,15,-
14,35 to 44 years,11,D,D,-
15,45 to 54 years,11,5,6,-
16,55 to 64 years,D,D,D,-
17,65 years and over,D,-,D,-
18,Unknown,1,-,-,1
19,,,,,
20,Marital status,,,,
21,Single,D,9,D,1
22,Married,45,15,30,-
23,Other,D,-,D,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",D,D,D,-
28,Service occupations,6,D,D,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",D,-,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,32,6,25,1
35,Homemakers,9,D,D,-
36,Students or children,16,D,11,D
37,Retirees,-,-,-,-
38,Unemployed,7,D,D,-
39,Unknown,25,12,13,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,15,4,11,-
43,Employment-based preferences,6,D,D,-
44,Immediate relatives of U.S. citizens,40,11,28,1
45,Diversity,3,D,D,-
46,Refugees and asylees,5,D,D,-
47,Other,-,-,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Canada,3,D,D,-
51,Chile,3,D,D,-
52,Czech Republic,D,D,-,-
53,Czechoslovakia (former),D,D,-,-
54,El Salvador,D,-,-,D
55,Guatemala,D,D,D,-
56,Hungary,D,-,D,-
57,Indonesia,D,-,D,-
58,Jamaica,D,-,D,-
59,Lithuania,D,-,D,-
60,Mauritania,5,5,-,-
61,Mexico,24,6,18,-
62,Nepal,D,-,D,-
63,Paraguay,D,-,D,-
64,Peru,5,-,5,-
65,Senegal,4,D,D,-
66,Soviet Union (former),D,D,D,-
67,Ukraine,3,-,3,-
68,United Kingdom,3,D,D,-
69,Uzbekistan,D,D,D,-
70,Other,4,-,4,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
