,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2007,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins-Loveland, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,393,175,218,-
6,,,,,
7,New arrivals,154,68,86,-
8,Adjustments of status,239,107,132,-
9,,,,,
10,Age,,,,
11,Under 18 years,78,34,44,-
12,18 to 24 years,48,22,26,-
13,25 to 34 years,97,42,55,-
14,35 to 44 years,79,39,40,-
15,45 to 54 years,43,19,24,-
16,55 to 64 years,25,8,17,-
17,65 years and over,23,11,12,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,122,D,D,-
22,Married,256,106,150,-
23,Other,12,D,D,-
24,Unknown,3,3,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",54,36,18,-
28,Service occupations,D,D,D,-
29,Sales and office occupations,10,5,5,-
30,"Farming, fishing, and forestry occupations",9,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",9,9,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,192,62,130,-
35,Homemakers,49,-,49,-
36,Students or children,96,47,49,-
37,Retirees,6,D,D,-
38,Unemployed,41,D,D,-
39,Unknown,110,52,58,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,34,18,16,-
43,Employment-based preferences,110,58,52,-
44,Immediate relatives of U.S. citizens,223,85,138,-
45,Diversity,15,8,7,-
46,Refugees and asylees,9,5,4,-
47,Other,2,1,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,10,3,7,-
51,Canada,19,10,9,-
52,China,57,26,31,-
53,El Salvador,5,D,D,-
54,Ethiopia,5,D,D,-
55,Germany,9,5,4,-
56,Guatemala,12,6,6,-
57,India,23,9,14,-
58,Israel,5,D,D,-
59,Japan,8,D,D,-
60,Korea,10,6,4,-
61,Mexico,66,30,36,-
62,Netherlands,5,D,D,-
63,Peru,9,4,5,-
64,Philippines,10,D,D,-
65,Russia,9,D,D,-
66,Turkey,5,D,D,-
67,United Kingdom,15,7,8,-
68,Vietnam,11,3,8,-
69,Other,100,44,56,-
70,D  Data withheld to limit disclosure.,,,,
71,- Represents zero.,,,,
72,Source: U.S. Department of Homeland Security,,,,
