,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins-Loveland, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,333,149,178,6
6,,,,,
7,New arrivals,148,66,76,6
8,Adjustments of status,185,83,102,-
9,,,,,
10,Age,,,,
11,Under 18 years,60,29,30,1
12,18 to 24 years,44,24,20,-
13,25 to 34 years,90,37,53,-
14,35 to 44 years,72,32,40,-
15,45 to 54 years,31,15,16,-
16,55 to 64 years,21,7,14,-
17,65 years and over,11,5,5,1
18,Unknown,4,-,-,4
19,,,,,
20,Marital status,,,,
21,Single,103,52,50,1
22,Married,217,92,120,5
23,Other,11,3,8,-
24,Unknown,2,2,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",52,29,22,1
28,Service occupations,14,11,3,-
29,Sales and office occupations,8,4,4,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,1
32,"Production, transportation, and material moving occupations",13,10,3,-
33,Military,-,-,-,-
34,No occupation/not working outside home,155,54,97,4
35,Homemakers,47,D,42,D
36,Students or children,82,40,42,-
37,Retirees,5,D,D,-
38,Unemployed,21,10,D,D
39,Unknown,87,38,49,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,41,24,17,-
43,Employment-based preferences,88,45,43,-
44,Immediate relatives of U.S. citizens,187,71,110,6
45,Diversity,5,D,D,-
46,Refugees and asylees,9,D,D,-
47,Other,3,-,3,-
48,,,,,
49,Leading countries of birth,,,,
50,Albania,3,D,D,-
51,Brazil,13,3,10,-
52,Canada,19,9,10,-
53,China,41,17,24,-
54,Colombia,4,D,D,-
55,Germany,10,4,5,1
56,India,20,9,11,-
57,Jamaica,4,D,D,-
58,"Korea, South",13,8,5,-
59,Mexico,71,32,37,2
60,Nepal,5,D,D,-
61,Pakistan,20,9,11,-
62,Philippines,4,D,D,-
63,Romania,4,D,D,-
64,Sudan,4,D,D,-
65,Syria,4,D,D,-
66,Thailand,5,D,D,-
67,Ukraine,4,D,D,-
68,United Kingdom,9,6,3,-
69,Vietnam,6,D,3,D
70,Other,70,33,35,2
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
