,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins-Loveland, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,370,174,196,-
6,,,,,
7,New arrivals,167,83,84,-
8,Adjustments of status,203,91,112,-
9,,,,,
10,Age,,,,
11,Under 18 years,81,43,38,-
12,18 to 24 years,48,23,25,-
13,25 to 34 years,91,40,51,-
14,35 to 44 years,90,38,52,-
15,45 to 54 years,26,12,14,-
16,55 to 64 years,18,9,9,-
17,65 years and over,16,9,7,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,118,D,D,-
22,Married,238,102,136,-
23,Other,9,D,D,-
24,Unknown,5,2,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",49,33,16,-
28,Service occupations,26,17,9,-
29,Sales and office occupations,12,D,D,-
30,"Farming, fishing, and forestry occupations",11,D,D,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",9,9,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,174,70,104,-
35,Homemakers,41,D,D,-
36,Students or children,96,51,45,-
37,Retirees,D,D,D,-
38,Unemployed,D,15,D,-
39,Unknown,89,32,57,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,47,23,24,-
43,Employment-based preferences,67,40,27,-
44,Immediate relatives of U.S. citizens,206,87,119,-
45,Diversity,24,12,12,-
46,Refugees and asylees,22,10,12,-
47,Other,4,2,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,6,D,D,-
51,Brazil,12,6,6,-
52,Canada,13,6,7,-
53,China,43,17,26,-
54,El Salvador,6,3,3,-
55,Ethiopia,6,D,D,-
56,India,20,11,9,-
57,Iran,4,D,D,-
58,Iraq,12,5,7,-
59,Japan,7,D,D,-
60,"Korea, South",12,9,3,-
61,Mexico,85,41,44,-
62,Nepal,8,D,D,-
63,Philippines,11,3,8,-
64,Russia,10,5,5,-
65,Ukraine,10,D,D,-
66,United Kingdom,11,8,3,-
67,Uzbekistan,5,D,D,-
68,Vietnam,13,7,6,-
69,Yemen,6,D,D,-
70,Other,70,28,42,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
