,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,150,82,68,-
6,,,,,
7,New arrivals,73,35,38,-
8,Adjustments of status,77,47,30,-
9,,,,,
10,Age,,,,
11,Under 18 years,19,10,9,-
12,18 to 24 years,15,6,9,-
13,25 to 34 years,48,24,24,-
14,35 to 44 years,30,19,11,-
15,45 to 54 years,23,12,11,-
16,55 to 64 years,9,D,D,-
17,65 years and over,6,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,110,64,46,-
22,Single,32,13,19,-
23,Other,8,5,3,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",23,6,17,-
28,Service occupations,9,6,3,-
29,Sales and office occupations,5,D,D,-
30,"Farming, fishing, and forestry occupations",3,D,D,-
31,"Construction, extraction, maintenance and repair occupations",3,-,3,-
32,"Production, transportation, and material moving occupations",4,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,58,42,16,-
35,Homemakers,24,D,D,-
36,Students or children,25,D,D,-
37,Retirees,D,D,-,-
38,Unemployed,D,D,D,-
39,Unknown,45,23,22,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,24,10,14,-
43,Employment-based preferences,19,10,9,-
44,Immediate relatives of U.S. citizens,93,57,36,-
45,Diversity,8,3,5,-
46,Refugees and asylees,3,-,3,-
47,Other,3,2,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,7,4,3,-
51,Australia,5,D,D,-
52,Brazil,3,D,D,-
53,Bulgaria,5,D,D,-
54,Canada,D,-,D,-
55,China,D,D,D,-
56,Colombia,3,D,D,-
57,"Congo, Republic of the",D,-,D,-
58,Ecuador,D,D,-,-
59,El Salvador,5,D,D,-
60,France,3,D,D,-
61,Guatemala,4,D,D,-
62,Honduras,3,D,D,-
63,Jamaica,3,3,-,-
64,Mexico,70,35,35,-
65,Nepal,12,7,5,-
66,Peru,3,3,-,-
67,Philippines,3,3,-,-
68,Russia,4,D,D,-
69,Uzbekistan,D,D,D,-
70,Other,9,5,4,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
