,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,260,117,143,-
6,,,,,
7,New arrivals,157,76,81,-
8,Adjustments of status,103,41,62,-
9,,,,,
10,Age,,,,
11,Under 18 years,62,38,24,-
12,18 to 24 years,36,15,21,-
13,25 to 34 years,80,32,48,-
14,35 to 44 years,45,15,30,-
15,45 to 54 years,12,6,6,-
16,55 to 64 years,14,3,11,-
17,65 years and over,11,8,3,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,91,51,40,-
22,Married,159,63,96,-
23,Other,7,3,4,-
24,Unknown,3,-,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",17,6,11,-
28,Service occupations,13,7,6,-
29,Sales and office occupations,7,D,D,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",12,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,143,58,85,-
35,Homemakers,48,5,43,-
36,Students or children,73,43,30,-
37,Retirees,-,-,-,-
38,Unemployed,22,10,12,-
39,Unknown,63,28,35,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,74,35,39,-
43,Employment-based preferences,14,9,5,-
44,Immediate relatives of U.S. citizens,151,61,90,-
45,Diversity,11,6,5,-
46,Refugees and asylees,8,5,3,-
47,Other,2,1,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,6,D,D,-
51,Australia,D,D,D,-
52,Belarus,D,D,D,-
53,Bulgaria,8,4,4,-
54,China,8,3,5,-
55,Ecuador,3,D,D,-
56,Guatemala,3,D,D,-
57,Honduras,9,4,5,-
58,Jamaica,6,D,D,-
59,Mexico,141,67,74,-
60,Nepal,5,D,D,-
61,New Zealand,3,D,D,-
62,Peru,6,3,3,-
63,Poland,3,D,D,-
64,Russia,6,D,D,-
65,Senegal,3,D,D,-
66,Spain,3,-,3,-
67,United Kingdom,5,D,D,-
68,Uzbekistan,3,D,D,-
69,Vietnam,4,D,D,-
70,Other,30,8,22,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
