,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2009,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,295,127,168,-
6,,,,,
7,New arrivals,108,45,63,-
8,Adjustments of status,187,82,105,-
9,,,,,
10,Age,,,,
11,Under 18 years,71,34,37,-
12,18 to 24 years,43,20,23,-
13,25 to 34 years,87,39,48,-
14,35 to 44 years,52,17,35,-
15,45 to 54 years,19,8,11,-
16,55 to 64 years,15,5,10,-
17,65 years and over,8,4,4,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,111,59,52,-
22,Married,173,64,109,-
23,Other,9,3,6,-
24,Unknown,2,1,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",16,8,8,-
28,Service occupations,15,7,8,-
29,Sales and office occupations,10,D,D,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",19,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,140,44,96,-
35,Homemakers,48,3,45,-
36,Students or children,77,38,39,-
37,Retirees,-,-,-,-
38,Unemployed,15,3,12,-
39,Unknown,90,38,52,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,58,24,34,-
43,Employment-based preferences,22,D,D,-
44,Immediate relatives of U.S. citizens,188,74,114,-
45,Diversity,4,D,D,-
46,Refugees and asylees,17,D,D,-
47,Other,6,3,3,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,5,D,D,-
51,Australia,4,D,D,-
52,Brazil,7,-,7,-
53,Bulgaria,3,D,D,-
54,Canada,9,3,6,-
55,China,3,D,D,-
56,Colombia,3,D,D,-
57,Cuba,D,D,D,-
58,El Salvador,3,D,D,-
59,Honduras,3,D,D,-
60,Jamaica,8,4,4,-
61,"Korea, South",D,-,D,-
62,Mauritania,10,10,-,-
63,Mexico,166,70,96,-
64,Nepal,8,3,5,-
65,New Zealand,7,4,3,-
66,Slovakia,3,-,3,-
67,South Africa,3,D,D,-
68,Soviet Union (former),6,D,D,-
69,United Kingdom,7,D,D,-
70,Other,33,13,20,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
