,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2007,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,894,351,543,-
6,,,,,
7,New arrivals,392,150,242,-
8,Adjustments of status,502,201,301,-
9,,,,,
10,Age,,,,
11,Under 18 years,227,99,128,-
12,18 to 24 years,91,33,58,-
13,25 to 34 years,213,75,138,-
14,35 to 44 years,168,70,98,-
15,45 to 54 years,85,31,54,-
16,55 to 64 years,53,19,34,-
17,65 years and over,57,24,33,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,306,138,168,-
22,Married,549,203,346,-
23,Other,34,8,26,-
24,Unknown,5,2,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",74,48,26,-
28,Service occupations,30,12,18,-
29,Sales and office occupations,35,16,19,-
30,"Farming, fishing, and forestry occupations",10,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",28,D,D,-
33,Military,D,D,-,-
34,No occupation/not working outside home,451,143,308,-
35,Homemakers,117,D,D,-
36,Students or children,250,113,137,-
37,Retirees,7,D,D,-
38,Unemployed,77,24,53,-
39,Unknown,260,101,159,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,89,41,48,-
43,Employment-based preferences,113,60,53,-
44,Immediate relatives of U.S. citizens,579,198,381,-
45,Diversity,24,9,15,-
46,Refugees and asylees,79,38,41,-
47,Other,10,5,5,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,11,5,6,-
51,Canada,27,14,13,-
52,China,75,18,57,-
53,Colombia,20,7,13,-
54,El Salvador,15,8,7,-
55,Ethiopia,12,9,3,-
56,Germany,27,8,19,-
57,India,29,15,14,-
58,Jamaica,22,12,10,-
59,Japan,19,4,15,-
60,Korea,52,23,29,-
61,Mexico,130,53,77,-
62,Peru,37,13,24,-
63,Philippines,81,22,59,-
64,Romania,12,5,7,-
65,Russia,15,5,10,-
66,Ukraine,14,6,8,-
67,United Kingdom,32,17,15,-
68,Vietnam,27,10,17,-
69,Other,237,97,140,-
70,D  Data withheld to limit disclosure.,,,,
71,- Represents zero.,,,,
72,Source: U.S. Department of Homeland Security,,,,
