,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,1098,439,659,-
6,,,,,
7,New arrivals,518,208,310,-
8,Adjustments of status,580,231,349,-
9,,,,,
10,Age,,,,
11,Under 18 years,257,123,134,-
12,18 to 24 years,134,55,79,-
13,25 to 34 years,305,102,203,-
14,35 to 44 years,161,72,89,-
15,45 to 54 years,99,38,61,-
16,55 to 64 years,91,31,60,-
17,65 years and over,51,18,33,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,364,185,179,-
22,Married,660,241,419,-
23,Other,61,8,53,-
24,Unknown,13,5,8,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",82,51,31,-
28,Service occupations,45,22,23,-
29,Sales and office occupations,26,8,18,-
30,"Farming, fishing, and forestry occupations",13,D,D,-
31,"Construction, extraction, maintenance and repair occupations",6,6,-,-
32,"Production, transportation, and material moving occupations",29,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,562,186,376,-
35,Homemakers,147,D,D,-
36,Students or children,309,145,164,-
37,Retirees,7,D,D,-
38,Unemployed,99,29,70,-
39,Unknown,335,129,206,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,106,44,62,-
43,Employment-based preferences,109,57,52,-
44,Immediate relatives of U.S. citizens,665,218,447,-
45,Diversity,31,20,11,-
46,Refugees and asylees,150,74,76,-
47,Other,37,26,11,-
48,,,,,
49,Leading countries of birth,,,,
50,Bhutan,48,22,26,-
51,Burma,12,6,6,-
52,Canada,26,13,13,-
53,China,72,25,47,-
54,Cuba,21,9,12,-
55,Ethiopia,25,14,11,-
56,Germany,33,7,26,-
57,India,42,22,20,-
58,Iraq,45,29,16,-
59,Jamaica,36,15,21,-
60,Kenya,12,D,D,-
61,"Korea, South",37,16,21,-
62,Mexico,161,72,89,-
63,Nepal,42,19,23,-
64,Peru,12,5,7,-
65,Philippines,108,31,77,-
66,Russia,21,6,15,-
67,Ukraine,12,D,D,-
68,United Kingdom,15,6,9,-
69,Vietnam,40,14,26,-
70,Other,278,103,175,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
