,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2007,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,118,48,70,-
6,,,,,
7,New arrivals,64,31,33,-
8,Adjustments of status,54,17,37,-
9,,,,,
10,Age,,,,
11,Under 18 years,35,18,17,-
12,18 to 24 years,13,6,7,-
13,25 to 34 years,27,8,19,-
14,35 to 44 years,10,5,5,-
15,45 to 54 years,20,7,13,-
16,55 to 64 years,6,D,D,-
17,65 years and over,7,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,39,21,18,-
22,Married,70,26,44,-
23,Other,7,-,7,-
24,Unknown,2,1,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",11,D,D,-
28,Service occupations,13,6,7,-
29,Sales and office occupations,D,D,-,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",3,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,64,21,43,-
35,Homemakers,22,D,D,-
36,Students or children,37,D,D,-
37,Retirees,D,-,D,-
38,Unemployed,D,D,D,-
39,Unknown,24,9,15,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,9,D,D,-
43,Employment-based preferences,16,7,9,-
44,Immediate relatives of U.S. citizens,82,35,47,-
45,Diversity,5,D,D,-
46,Refugees and asylees,5,D,D,-
47,Other,1,-,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,D,D,-,-
51,Canada,6,D,D,-
52,Chile,D,D,-,-
53,China,8,D,D,-
54,Costa Rica,D,-,D,-
55,Ethiopia,D,D,D,-
56,Germany,D,-,D,-
57,Guatemala,D,-,D,-
58,Honduras,3,-,3,-
59,Iran,3,D,D,-
60,Mexico,34,10,24,-
61,Nepal,7,3,4,-
62,Philippines,19,8,11,-
63,Poland,3,-,3,-
64,Romania,D,D,D,-
65,Russia,D,D,D,-
66,Taiwan,3,D,D,-
67,Ukraine,D,-,D,-
68,United Kingdom,10,10,-,-
69,Other,7,3,4,-
70,D  Data withheld to limit disclosure.,,,,
71,- Represents zero.,,,,
72,Source: U.S. Department of Homeland Security,,,,
