,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2008,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Denver-Aurora, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,8408,3829,4578,1
6,,,,,
7,New arrivals,3543,1581,1962,-
8,Adjustments of status,4865,2248,2616,1
9,,,,,
10,Age,,,,
11,Under 18 years,1654,873,781,-
12,18 to 24 years,1192,551,640,1
13,25 to 34 years,2149,959,1190,-
14,35 to 44 years,1544,715,829,-
15,45 to 54 years,786,320,466,-
16,55 to 64 years,586,191,395,-
17,65 years and over,497,220,277,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,2919,1567,1352,-
22,Married,5007,2161,2846,-
23,Other,394,55,339,-
24,Unknown,88,46,41,1
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",709,451,258,-
28,Service occupations,381,173,208,-
29,Sales and office occupations,300,123,177,-
30,"Farming, fishing, and forestry occupations",143,125,18,-
31,"Construction, extraction, maintenance and repair occupations",59,D,D,-
32,"Production, transportation, and material moving occupations",443,374,69,-
33,Military,4,D,D,-
34,No occupation/not working outside home,3974,1361,2613,-
35,Homemakers,1269,49,1220,-
36,Students or children,2028,1046,982,-
37,Retirees,74,38,36,-
38,Unemployed,603,228,375,-
39,Unknown,2395,1162,1232,1
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,1423,597,825,1
43,Employment-based preferences,884,479,405,-
44,Immediate relatives of U.S. citizens,4199,1718,2481,-
45,Diversity,520,295,225,-
46,Refugees and asylees,1218,650,568,-
47,Other,164,90,74,-
48,,,,,
49,Leading countries of birth,,,,
50,Canada,171,82,89,-
51,China,365,119,246,-
52,El Salvador,98,48,50,-
53,Ethiopia,520,265,255,-
54,Ghana,93,49,44,-
55,Guatemala,105,60,45,-
56,India,254,126,128,-
57,Iran,124,62,62,-
58,Korea,196,89,107,-
59,Mexico,2607,1139,1467,1
60,Morocco,85,37,48,-
61,Nepal,122,70,52,-
62,Philippines,177,54,123,-
63,Russia,167,78,89,-
64,Somalia,162,86,76,-
65,Sudan,125,59,66,-
66,Ukraine,131,47,84,-
67,United Kingdom,132,86,46,-
68,Uzbekistan,112,58,54,-
69,Vietnam,401,165,236,-
70,Other,2253,1046,1207,-
71,Unknown,8,4,4,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
